"empresa","sku","nombre","total"
"AMX_Ent_2011695","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2519030","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2369843","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2474615","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2402964","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2370915","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2345983","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2286858","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2231620","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2007591","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1981971","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2412776","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1917515","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1772020","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2200273","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2181235","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2428841","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2146599","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2288852","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2176612","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2126862","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2110928","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2054084","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2014806","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2192373","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2386849","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2169494","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1989717","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2270213","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1924733","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1382476","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2324854","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1535847","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1410414","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1999120","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2173303","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1841802","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1416182","TRCAA","Cloud PBX-Auto-Attendant Plus",2
"AMX_Ent_1987572","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1643956","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1413253","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2251481","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1535910","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1242849","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1405165","TRCAA","Cloud PBX-Auto-Attendant Plus",3
"AMX_Ent_1765558","TRCAA","Cloud PBX-Auto-Attendant Plus",2
"AMX_Ent_1646184","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2425212","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1725819","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1810451","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1612371","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1391245","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1854586","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2522325","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1388110","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2246024","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2233642","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2198225","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2134867","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1333158","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1061179","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1435834","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1908427","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1772869","TRCAA","Cloud PBX-Auto-Attendant Plus",3
"AMX_Ent_2123415","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1399592","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1119695","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2063322","TRCAA","Cloud PBX-Auto-Attendant Plus",3
"AMX_Ent_2318290","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2087589","TRCAA","Cloud PBX-Auto-Attendant Plus",2
"AMX_Ent_1445434","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1453754","TRCAA","Cloud PBX-Auto-Attendant Plus",5
"AMX_Ent_2232078","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2312867","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2429381","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2348926","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2268489","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1419198","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1720207","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2065070","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2383446","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2190210","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1453551","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2313526","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1433528","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1436968","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2135505","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1439143","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1389358","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2005114","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1503488","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1749201","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1682242","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1802499","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1954735","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1985273","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1716779","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2000508","TRCAA","Cloud PBX-Auto-Attendant Plus",2
"AMX_Ent_1582377","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2055947","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2035514","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2478820","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1630294","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2116994","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2144080","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1369069","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2221217","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2223459","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2242061","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2340488","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1930288","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2135046","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2392497","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1980426","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2390961","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1932130","TRCAA","Cloud PBX-Auto-Attendant Plus",2
"AMX_Ent_1340057","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2416871","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2235796","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1421478","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1221947","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1263806","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1441185","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1543817","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1685113","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2297926","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_2168386","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1408752","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1958743","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1357549","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1686686","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1834783","TRCAA","Cloud PBX-Auto-Attendant Plus",1
"AMX_Ent_1853570","TRCAA","Cloud PBX-Auto-Attendant Plus",1
