"folio","siteNumber","siteName","phase","clientName","sku","partId","qty","qtyFac"
"A09170430",71437227,"680 PATRIMONIAL LOMAS - 71437227","Desconocido","BBVA BANCOMER","UNC.UCAUB.CORE",32006551,18,"[]"
"A09170432",71436965,"2321 HIPOTECARIA MORELIA","Desconocido","BBVA BANCOMER","UNC.UCAUB.CORE",32006525,11,"[]"
"V00000001",70114436,"367 LAS AGUILAS PERIFERICO","Planeación","BBVA BANCOMER","UNC.CUAD.901.1",24803741,2,"[]"
"V00000002",70114837,"3622 WAL MART UNIVERSIDAD 2001 EN REVISI","Planeación","BBVA BANCOMER","UNC.CUAD.905.1",24942432,3,"[]"
"V00000002",70114837,"3622 WAL MART UNIVERSIDAD 2001 EN REVISI","Planeación","BBVA BANCOMER","UNC.CUAD.901.1",24942434,2,"[]"
"V00000002",70114837,"3622 WAL MART UNIVERSIDAD 2001 EN REVISI","Planeación","BBVA BANCOMER","UNC.CUAD.911.1",24942436,3,"[]"
"V00000003",70114852,"3635 PEMEX","Planeación","BBVA BANCOMER","UNC.CUAD.905.1",24942450,4,"[]"
"V00000003",70114852,"3635 PEMEX","Planeación","BBVA BANCOMER","UNC.CUAD.911.1",24942452,4,"[]"
"V00000003",70114852,"3635 PEMEX","Planeación","BBVA BANCOMER","UNC.CUAD.901.1",24942460,2,"[]"
"V00000004",70115106,"4130 INSURGENTES POTRERO","Planeación","BBVA BANCOMER","UNC.CUAD.905.1",24944916,5,"[]"
"V00000004",70115106,"4130 INSURGENTES POTRERO","Planeación","BBVA BANCOMER","UNC.CUAD.911.1",24944918,5,"[]"
"V00000004",70115106,"4130 INSURGENTES POTRERO","Planeación","BBVA BANCOMER","UNC.CUAD.901.1",24944925,3,"[]"
"V00000005",70114987,"3862 GUDJRA ENRIQUE DIAZ DE LEON","Planeación","BBVA BANCOMER","UNC.CUAD.905.1",24946382,6,"[]"
"V00000005",70114987,"3862 GUDJRA ENRIQUE DIAZ DE LEON","Planeación","BBVA BANCOMER","UNC.CUAD.911.1",24946384,6,"[]"
"V00000005",70114987,"3862 GUDJRA ENRIQUE DIAZ DE LEON","Planeación","BBVA BANCOMER","UNC.CUAD.901.1",24946386,2,"[]"
"V00000006",70115508,"5455 PTO VALLARTA PLAZA MARINA","Planeación","BBVA BANCOMER","UNC.CUAD.905.1",25779559,6,"[]"
"V00000006",70115508,"5455 PTO VALLARTA PLAZA MARINA","Planeación","BBVA BANCOMER","UNC.CUAD.901.1",25779561,2,"[]"
"V00000006",70115508,"5455 PTO VALLARTA PLAZA MARINA","Planeación","BBVA BANCOMER","UNC.CUAD.911.1",25779575,6,"[]"
"V000000010",70115609,"5501 IRAPUATO PRADERA","Planeación","BBVA BANCOMER","UNC.CUAD1.911.1",27963078,2,"[]"
"V000000011",70115351,"5884 APIZACO","Planeación","BBVA BANCOMER","UNC.CUAD1.911.1",28178582,2,"[]"
"V000000012",70223486,"221  MONTERREY LINDAVISTA","Planeación","BBVA BANCOMER","UNC.CUAD1.911.1",28353083,1,"[]"
"V000000013",70114475,"411 MORELIA C FIN LAS AMERICAS","Planeación","BBVA BANCOMER","UNC.CUAD1.911.1",28662822,1,"[]"
"V000000014",70115291,"5659 ACAPONETA CENTRO","Planeación","BBVA BANCOMER","UNC.CUAD1.911.1",28662909,1,"[]"
"V000000019",71584964,"5823 MAGDALENA OFNA  PRINCIPAL","Planeación","BBVA BANCOMER","UNC.CUAD1.911.1",30491840,5,"[]"
"V000000019",71584964,"5823 MAGDALENA OFNA  PRINCIPAL","Planeación","BBVA BANCOMER","UNC.CUAD1.901.1",30491842,2,"[]"
"V000000088",71235421,"461 AGUASCALIENTES PULGAS PANDAS","Planeación","BBVA BANCOMER","UNC.CUAD1.911.1",32551150,1,"[]"
"V0000000672",70232611,"6534 TOLUCA CENTRO","Planeación","BBVA BANCOMER","UNC.CUAD1.911.1",33536843,2,"[]"
"A10190367",71803878,"SPTI DEL VALLE","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36401269,1,"[]"
"A10190221",71803878,"SPTI DEL VALLE","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36399203,9,"[]"
"A10190219",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36398448,7,"[]"
"A10190352",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36397068,7,"[]"
"A10190203",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36396450,6,"[]"
"A10190200",71826279,"DORAMA OFICINA PACHUCA HGO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.918.1",36396057,1,"[1]"
"A10190323",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36393961,7,"[]"
"A10190294",71827242,"SERVICIOS PARA TI - EL REFUGIO CAMPESTRE","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.918.1",36393328,1,"[]"
"A10190195",71655987,"CORPORATIVO DORAMA PATRIOTISMO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36391724,9,"[]"
"A10190295",71655987,"CORPORATIVO DORAMA PATRIOTISMO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36389919,9,"[]"
"A10190289",71352715,"IN PLANT JASSO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36387686,1,"[]"
"A10190290",71352717,"IN PLANT MARSH","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36387486,2,"[]"
"A10190286",71344766,"FIANZAS DORAMA BOCA DEL RIO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36387275,1,"[]"
"A10190182",71429241,"FIANZAS DORAMA VILLAHERMOSA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36385863,3,"[]"
"A10190158",71344378,"FIANZAS DORAMA MERIDA","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36382561,1,"[]"
"A10190240",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36377406,9,"[]"
"A10190140",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36373897,9,"[]"
"A10190319",71547205,"DORAMA CULIACAN","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36373703,1,"[]"
"A10190187",71547256,"DORAMA HERMOSILLO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36372369,1,"[]"
"A10190185",71547256,"DORAMA HERMOSILLO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36372043,3,"[]"
"A10190337",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36371042,9,"[]"
"A10190114",71570508,"SPTI TIJUANA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36371689,1,"[]"
"A10190327",71570508,"SPTI TIJUANA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36370740,3,"[]"
"A10190302",71279444,"FIANZAS DORAMA QUERETARO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36370538,1,"[]"
"A10190326",71279444,"FIANZAS DORAMA QUERETARO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36369127,3,"[]"
"A10190109",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36368180,9,"[]"
"A10190105",70221746,"SOFIMEX NODO CENTRAL","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36367045,9,"[]"
"A10190097",71432170,"FIANZAS DORAMA LEON NUEVO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36366716,1,"[]"
"A10190095",71432170,"FIANZAS DORAMA LEON NUEVO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36366387,3,"[]"
"A10190267",71641111,"NUEVA DORAMA GUADALAJARA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36366269,1,"[]"
"A10190339",71641111,"NUEVA DORAMA GUADALAJARA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36366151,1,"[]"
"A10190287",71641111,"NUEVA DORAMA GUADALAJARA","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36364687,5,"[]"
"A10190086",71432171,"FIANZAS DORAMA SAN LUIS POTOSI NUEVO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36364582,1,"[]"
"A10190273",71432171,"FIANZAS DORAMA SAN LUIS POTOSI NUEVO","Planeación","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36364244,3,"[]"
"A10190052",71547275,"DORAMA TAMPICO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36360973,1,"[]"
"A10190049",71547275,"DORAMA TAMPICO","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36358816,3,"[]"
"A10190092",71436199,"FIANZAS DORAMA MONTERREY","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36358418,1,"[]"
"A10190100",71436199,"FIANZAS DORAMA MONTERREY","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36358309,1,"[]"
"A10190062",71436199,"FIANZAS DORAMA MONTERREY","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36358139,1,"[]"
"A10190107",71436199,"FIANZAS DORAMA MONTERREY","Operativo","SERVICIOS PARA TI S.A. DE C.V.","UNC.CUAD.912.1",36357473,6,"[]"
