"groupId","services","empresa","user"
"AMX_1683598","[""Call Forwarding Always""]","AMX_Ent_1263806","AMX_1683598_HG151047@pbxcloud.mx"
"AMX_1501573","[""Call Forwarding Always""]","AMX_Ent_1322847","AMX_1501573_HG73857@pbxcloud.mx"
"AMX_1516866","[""Call Forwarding Always""]","AMX_Ent_1333158","AMX_1516866_HG73526@pbxcloud.mx"
"AMX_1527488","[""Call Forwarding Busy""]","AMX_Ent_1340057","AMX_1527488_HG73480@pbxcloud.mx"
"AMX_1527488","[""Call Forwarding Busy""]","AMX_Ent_1340057","AMX_1527488_HG73492@pbxcloud.mx"
"AMX_1527488","[""Call Forwarding Busy""]","AMX_Ent_1340057","AMX_1527488_HG73498@pbxcloud.mx"
"AMX_1527488","[""Call Forwarding Always"",""Selective Call Rejection""]","AMX_Ent_1340057","AMX_1527488_HG73699@pbxcloud.mx"
"AMX_1527488","[""Call Forwarding Always"",""Selective Call Rejection""]","AMX_Ent_1340057","AMX_1527488_HG73705@pbxcloud.mx"
"AMX_1527488","[""Call Forwarding Always"",""Selective Call Rejection""]","AMX_Ent_1340057","AMX_1527488_HG73712@pbxcloud.mx"
"AMX_1527488","[""Call Forwarding Always"",""Selective Call Rejection""]","AMX_Ent_1340057","AMX_1527488_HG73719@pbxcloud.mx"
"AMX_1527488","[""Call Forwarding Always"",""Selective Call Rejection""]","AMX_Ent_1340057","AMX_1527488_HG73725@pbxcloud.mx"
"AMX_2942996","[""Call Forwarding Always""]","AMX_Ent_1369069","AMX_2942996_HG153091@pbxcloud.mx"
"AMX_2942996","[""Call Forwarding Always""]","AMX_Ent_1369069","AMX_2942996_HG153322@pbxcloud.mx"
"AMX_2942996","[""Call Forwarding Always""]","AMX_Ent_1369069","AMX_2942996_HG153330@pbxcloud.mx"
"AMX_2942996","[""Call Forwarding Always""]","AMX_Ent_1369069","AMX_2942996_HG153340@pbxcloud.mx"
"AMX_2942996","[""Call Forwarding Always""]","AMX_Ent_1369069","AMX_2942996_HG153346@pbxcloud.mx"
"AMX_2200337","[""Call Forwarding Always"",""Call Forwarding Busy""]","AMX_Ent_1382476","AMX_2200337_HG147781@pbxcloud.mx"
"AMX_2200337","[""Call Forwarding Always"",""Call Forwarding Busy""]","AMX_Ent_1382476","AMX_2200337_HG147846@pbxcloud.mx"
"AMX_2200337","[""Call Forwarding Always"",""Call Forwarding Busy""]","AMX_Ent_1382476","AMX_2200337_HG147855@pbxcloud.mx"
"AMX_1615035","[""Selective Call Rejection""]","AMX_Ent_1388110","AMX_1615035_HG149685@pbxcloud.mx"
"AMX_1621162","[""Call Forwarding Always""]","AMX_Ent_1391245","AMX_1621162_HG73878@pbxcloud.mx"
"AMX_1621162","[""Call Forwarding Always""]","AMX_Ent_1391245","AMX_1621162_HG73900@pbxcloud.mx"
"AMX_1621162","[""Call Forwarding Always""]","AMX_Ent_1391245","AMX_1621162_HG73907@pbxcloud.mx"
"AMX_1621162","[""Call Forwarding Always""]","AMX_Ent_1391245","AMX_1621162_HG73914@pbxcloud.mx"
"AMX_1637440","[""Call Forwarding Always""]","AMX_Ent_1399592","AMX_1637440_HG73975@pbxcloud.mx"
"AMX_1637440","[""Call Forwarding Always""]","AMX_Ent_1399592","AMX_1637440_HG73982@pbxcloud.mx"
"AMX_1750417","[""Call Forwarding Always""]","AMX_Ent_1399592","AMX_1750417_HG75459@pbxcloud.mx"
"AMX_2358980","[""Call Forwarding Always""]","AMX_Ent_1405165","AMX_2358980_HG148299@pbxcloud.mx"
"AMX_2358980","[""Call Forwarding Always""]","AMX_Ent_1405165","AMX_2358980_HG148308@pbxcloud.mx"
"AMX_2358980","[""Call Forwarding Always""]","AMX_Ent_1405165","AMX_2358980_HG148314@pbxcloud.mx"
"AMX_2360977","[""Call Forwarding Always""]","AMX_Ent_1405165","AMX_2360977_HG148320@pbxcloud.mx"
"AMX_2360977","[""Call Forwarding Always""]","AMX_Ent_1405165","AMX_2360977_HG148329@pbxcloud.mx"
"AMX_1663186","[""Call Forwarding Always""]","AMX_Ent_1413253","AMX_1663186_HG74191@pbxcloud.mx"
"AMX_1663186","[""Call Forwarding Always""]","AMX_Ent_1413253","AMX_1663186_HG74205@pbxcloud.mx"
"AMX_1663186","[""Call Forwarding Always""]","AMX_Ent_1413253","AMX_1663186_HG74233@pbxcloud.mx"
"AMX_1677347","[""Call Forwarding Always""]","AMX_Ent_1416182","AMX_1677347_HG74469@pbxcloud.mx"
"AMX_1677347","[""Call Forwarding Always""]","AMX_Ent_1416182","AMX_1677347_HG74476@pbxcloud.mx"
"AMX_2309200","[""Call Forwarding Always""]","AMX_Ent_1416182","AMX_2309200_HG147996@pbxcloud.mx"
"AMX_1696458","[""Call Forwarding Always""]","AMX_Ent_1417891","AMX_1696458_HG152949@pbxcloud.mx"
"AMX_1674217","[""Call Forwarding Always""]","AMX_Ent_1419198","AMX_1674217_HG74111@pbxcloud.mx"
"AMX_1955013","[""Call Forwarding Always"",""Call Forwarding Busy""]","AMX_Ent_1419198","AMX_1955013_HG147111@pbxcloud.mx"
"AMX_2876556","[""Call Forwarding Always""]","AMX_Ent_1432517","AMX_2876556_HG152011@pbxcloud.mx"
"AMX_2876556","[""Call Forwarding Always""]","AMX_Ent_1432517","AMX_2876556_HG152021@pbxcloud.mx"
"AMX_2876556","[""Call Forwarding Always""]","AMX_Ent_1432517","AMX_2876556_HG152031@pbxcloud.mx"
"AMX_1700398","[""Call Forwarding Always""]","AMX_Ent_1433528","AMX_1700398_HG74976@pbxcloud.mx"
"AMX_1700398","[""Call Forwarding Always""]","AMX_Ent_1433528","AMX_1700398_HG74982@pbxcloud.mx"
"AMX_1700398","[""Call Forwarding Always""]","AMX_Ent_1433528","AMX_1700398_HG74988@pbxcloud.mx"
"AMX_1700398","[""Call Forwarding Always""]","AMX_Ent_1433528","AMX_1700398_HG74994@pbxcloud.mx"
"AMX_1700398","[""Call Forwarding Always""]","AMX_Ent_1433528","AMX_1700398_HG75000@pbxcloud.mx"
"AMX_1711523","[""Call Forwarding Always""]","AMX_Ent_1433528","AMX_1711523_HG75021@pbxcloud.mx"
"AMX_1711523","[""Call Forwarding Always""]","AMX_Ent_1433528","AMX_1711523_HG75027@pbxcloud.mx"
"AMX_1711523","[""Call Forwarding Always""]","AMX_Ent_1433528","AMX_1711523_HG75033@pbxcloud.mx"
"AMX_1711523","[""Call Forwarding Always""]","AMX_Ent_1433528","AMX_1711523_HG75039@pbxcloud.mx"
"AMX_1701602","[""Call Forwarding Always""]","AMX_Ent_1434516","AMX_1701602_HG152375@pbxcloud.mx"
"AMX_1701602","[""Call Forwarding Always""]","AMX_Ent_1434516","AMX_1701602_HG152384@pbxcloud.mx"
"AMX_1835385","[""Call Forwarding Always""]","AMX_Ent_1439143","AMX_1835385_HG75733@pbxcloud.mx"
"AMX_1730469","[""Call Forwarding Busy"",""Voice Messaging User""]","AMX_Ent_1443342","AMX_1730469_HG75323@pbxcloud.mx"
"AMX_1730469","[""Call Forwarding Always"",""Call Forwarding Busy"",""Voice Messaging User""]","AMX_Ent_1443342","AMX_1730469_HG75330@pbxcloud.mx"
"AMX_1730469","[""Call Forwarding Always"",""Voice Messaging User""]","AMX_Ent_1443342","AMX_1730469_HG75396@pbxcloud.mx"
"AMX_1730469","[""Call Forwarding Busy"",""Voice Messaging User""]","AMX_Ent_1443342","AMX_1730469_HG75403@pbxcloud.mx"
