"folio","siteNumber","siteName","service","sku","partId","unr","unrId"
"V0000000697",71739472,"CHRYSLER CD CARMEN","CISCO","UNC.CUAD.903.1",34241563,"UNR.CUAD.903.1",34241786
"V0000000697",71739472,"CHRYSLER CD CARMEN","CISCO","UNC.CUAD.904.1",34241787,"UNR.CUAD.904.1",34241934
"V0000000697",71739472,"CHRYSLER CD CARMEN","CISCO","UNC.CUAD.912.1",34241935,"UNR.CUAD.912.1",34242035
"V0000000697",71739472,"CHRYSLER CD CARMEN","CISCO","UNC.CUAD.911.1",34242040,"UNR.CUAD.911.1",34242041
"V0000000697",71739472,"CHRYSLER CD CARMEN","CISCO","UNC.CUAD.918.1",34242048,"UNR.CUAD.918.1",34242049
"V0000000699",71739473,"CHRYSLER CAMPECHE","CISCO","UNC.CUAD.903.1",34244298,"UNR.CUAD.903.1",34244719
"V0000000699",71739473,"CHRYSLER CAMPECHE","CISCO","UNC.CUAD.912.1",34244720,"UNR.CUAD.912.1",34244820
"V0000000699",71739473,"CHRYSLER CAMPECHE","CISCO","UNC.CUAD.918.1",34244821,"UNR.CUAD.918.1",34244822
"V0000000699",71739473,"CHRYSLER CAMPECHE","CISCO","UNC.CUAD1.911.1",34244827,"UNR.CUAD1.911.1",34244828
"V0000000699",71739473,"CHRYSLER CAMPECHE","CISCO","UNC.CUAD.904.1",34244829,"UNR.CUAD.904.1",34245048
"V0000000751",71559084,"SITIO SATELITE","CISCO","UNC.CUAD.911.1",29799896,"UNR.CUAD.911.1",29799897
"V0000000752",71438208,"MUNICIPIO BENITO JUAREZ","CISCO","UNC.CUAD.911.1",29800091,"UNR.CUAD.911.1",29800092
"V0000000753",71391744,"PLAZA EMPRENDEDOR","CISCO","UNC.CUAD.911.1",29802930,"UNR.CUAD.911.1",29802931
