"folio","siteNumber","siteName","service","sku","partId","unr","unrId"
"V0000000717",71641924,"NEWLAND","BROADSOFT","UNC.CUAD60.BS.101",34257764,"UNR.CUAD60.BS.101",34257765
"V0000000717",71641924,"NEWLAND","BROADSOFT","UNC.CUAD60.BS.901",34257768,"UNR.CUAD60.BS.901",34257769
"V0000000693",71781292,"CUERNAVACA","BROADSOFT","UNC.CUAD.BS.104",33747076,"UNR.CUAD.BS.104",33747077
"V0000000720",71792556,"GOMEZ PALACIO DURANGO","BROADSOFT","UNC.CUAD.BS.101",34278012,"UNR.CUAD.BS.101",34278013
"V0000000720",71792556,"GOMEZ PALACIO DURANGO","BROADSOFT","UNC.CUAD.BS.201",34278014,"UNR.CUAD.BS.201",34278015
"V0000000720",71792556,"GOMEZ PALACIO DURANGO","BROADSOFT","UNC.CUAD.BS.901",34278016,"UNR.CUAD.BS.901",34278017
"V0000000727",71593991,"PARQUE LIRA_DMH_CENTRAL","BROADSOFT","UNC.CUAD.BS.901",34297266,"UNR.CUAD.BS.901",34297267
"V0000000727",71593991,"PARQUE LIRA_DMH_CENTRAL","BROADSOFT","UNC.CUAD.BS.101",34297268,"UNR.CUAD.BS.101",34297269
"V0000000719",71382589,"CORP CONSTITUYENTES","BROADSOFT","UNC.CUAD.BS.101",34271620,"UNR.CUAD.BS.101",34271621
"V0000000719",71382589,"CORP CONSTITUYENTES","BROADSOFT","UNC.CUAD.BS.104",34271622,"UNR.CUAD.BS.104",34271623
"V0000000719",71382589,"CORP CONSTITUYENTES","BROADSOFT","UNC.CUAD.BS.901",34271624,"UNR.CUAD.BS.901",34271625
"V0000000696",70150042,"MODATELAS MEXICO BOSQUES","BROADSOFT","UNC.CUAD.BS.902",34235074,"UNR.CUAD.BS.902",34235075
