"folio","oa","siteNumber","siteName","phase","status","sku","partId","qty","clientName"
"A10190083",392578,71332736,"MIFEL MONTERREY CUMBRES","Planeación","Activo","[""UNC.CUAD.901.1"",""UNC.CUAD.904.1.4"",""UNC.CUAD.918.1"",""UNC.CUAD.911.1"",""UNC.CUAD.907.1""]","[36363758,36363772,36364007,36364005,36364003]","[1,6,1,6,6]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A05192574",374311,71819007,"LOS CABOS II","Implementación","Activo","[""UNC.CUAD.V9.1"",""UNC.CUAD.V9.3.4"",""UNC.CUAD.907.1"",""UNC.CUAD.911.1""]","[35577366,35577381,35577607,35577609]","[1,6,6,6]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A04196351",370616,71803873,"BANCA MIFEL SUC MONTE SINAÍ","Desconocido","Activo","[""UNC.CUAD.904.1.4"",""UNC.CUAD.907.1""]","[35085082,35085308]","[6,6]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03194387",363874,71785338,"PREMIUM TOLUCA","Planeación","Activo","[""UNC.CUAD.904.1.1""]","[34498830]","[25]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03194386",363871,71785338,"PREMIUM TOLUCA","Planeación","Activo","[""UNC.CUAD.904.1.1""]","[34496925]","[50]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03194385",363868,71785338,"PREMIUM TOLUCA","Planeación","Activo","[""UNC.CUAD.904.1.1""]","[34495030]","[50]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03194383",363864,71785338,"PREMIUM TOLUCA","Planeación","Activo","[""UNC.CUAD.904.1.1""]","[34491302]","[50]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03194322",363520,71785338,"PREMIUM TOLUCA","Desconocido","Activo","[""UNC.CUAD.STJBIPV9""]","[34485780]","[25]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03194317",363499,71785338,"PREMIUM TOLUCA","Desconocido","Activo","[""UNC.CUAD.STJBIPV9""]","[34485272]","[50]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A03194316",363492,71785338,"PREMIUM TOLUCA","Desconocido","Activo","[""UNC.CUAD.STJBIPV9""]","[34484589]","[50]","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
