"cliente","servicio","sitio","idSitio","unc","descr","partId","qty","price","unr","unrId","months","rent","folio","phase"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","MIFEL MONTERREY CUMBRES",,"UNC.CUAD.901.1",,36363758,1,0.01,"UNR.CUAD.901.1",36363771,36,,"A10190083","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","MIFEL MONTERREY CUMBRES",,"UNC.CUAD.904.1.4",,36363772,6,0.01,"UNR.CUAD.904.1.4",36363997,36,,"A10190083","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","MIFEL MONTERREY CUMBRES",,"UNC.CUAD.918.1",,36364007,1,0.01,"UNR.CUAD.918.1",36364008,36,,"A10190083","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","MIFEL MONTERREY CUMBRES",,"UNC.CUAD.911.1",,36364005,6,0.01,"UNR.CUAD.911.1",36364006,36,,"A10190083","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","MIFEL MONTERREY CUMBRES",,"UNC.CUAD.907.1",,36364003,6,0.01,"UNR.CUAD.907.1",36364004,36,,"A10190083","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","LOS CABOS II",,"UNC.CUAD.V9.1",,35577366,1,0.01,"UNR.CUAD.V9.1",35577380,36,,"A05192574","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","LOS CABOS II",,"UNC.CUAD.V9.3.4",,35577381,6,0.01,"UNR.CUAD.V9.3.4",35577606,36,,"A05192574","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","LOS CABOS II",,"UNC.CUAD.907.1",,35577607,6,0.01,"UNR.CUAD.907.1",35577608,36,,"A05192574","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","LOS CABOS II",,"UNC.CUAD.911.1",,35577609,6,0.01,"UNR.CUAD.911.1",35577610,36,,"A05192574","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","LOS CABOS II",,,,,,111,"UNR.CUAD1.907.1",35577612,36,,"A05192574","Implementación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","BANCA MIFEL SUC MONTE SINAÍ",,,,,,195,"UNR.CUAD1.901.1",35085081,36,,"A04196351","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","BANCA MIFEL SUC MONTE SINAÍ",,"UNC.CUAD.904.1.4",,35085082,6,0.01,"UNR.CUAD.904.1.4",35085307,36,,"A04196351","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","BANCA MIFEL SUC MONTE SINAÍ",,"UNC.CUAD.907.1",,35085308,6,0.01,"UNR.CUAD.907.1",35085309,36,,"A04196351","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","BANCA MIFEL SUC MONTE SINAÍ",,,,,,111,"UNR.CUAD1.907.1",35085310,36,,"A04196351","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","BANCA MIFEL SUC MONTE SINAÍ",,,,,,108,"UNR.CUAD1.911.1",35085311,36,,"A04196351","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.904.1.1",,34498830,25,0.01,"UNR.CUAD.904.1.1",34499758,36,,"A03194387","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.904.1.1",,34496925,50,0.01,"UNR.CUAD.904.1.1",34498788,36,,"A03194386","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.904.1.1",,34495030,50,0.01,"UNR.CUAD.904.1.1",34496893,36,,"A03194385","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.904.1.1",,34491302,50,0.01,"UNR.CUAD.904.1.1",34493168,36,,"A03194383","Planeación"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.STJBIPV9",,34485780,25,0.01,"UNR.CUAD.STJBIPV9",34486033,36,,"A03194322","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.STJBIPV9",,34485272,50,0.01,"UNR.CUAD.STJBIPV9",34485775,36,,"A03194317","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.STJBIPV9",,34484589,50,0.01,"UNR.CUAD.STJBIPV9",34485211,36,,"A03194316","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD.STJBIPV9",,34483948,50,0.01,"UNR.CUAD.STJBIPV9",34484451,36,,"A03194306","Desconocido"
"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO","PREMIUM TOLUCA",,"UNC.CUAD1.901.1",,34353272,1,0.01,"UNR.CUAD1.901.1",34353273,36,,"A02191797","Desconocido"
