"folio","oa","siteNumber","siteName","phase","status","sku","partId","qty","clientName"
"A10190083",392578,71332736,"MIFEL MONTERREY CUMBRES","Planeación","Activo","UNC.CUAD.901.1",36363758,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10190083",392578,71332736,"MIFEL MONTERREY CUMBRES","Planeación","Activo","UNC.CUAD.904.1.4",36363772,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10190083",392578,71332736,"MIFEL MONTERREY CUMBRES","Planeación","Activo","UNC.CUAD.918.1",36364007,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10190083",392578,71332736,"MIFEL MONTERREY CUMBRES","Planeación","Activo","UNC.CUAD.911.1",36364005,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A10190083",392578,71332736,"MIFEL MONTERREY CUMBRES","Planeación","Activo","UNC.CUAD.907.1",36364003,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A05192574",374311,71819007,"LOS CABOS II","Implementación","Activo","UNC.CUAD.V9.1",35577366,1,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A05192574",374311,71819007,"LOS CABOS II","Implementación","Activo","UNC.CUAD.V9.3.4",35577381,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A05192574",374311,71819007,"LOS CABOS II","Implementación","Activo","UNC.CUAD.907.1",35577607,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A05192574",374311,71819007,"LOS CABOS II","Implementación","Activo","UNC.CUAD.911.1",35577609,6,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
"A05192574",374311,71819007,"LOS CABOS II","Implementación","Activo",,,,"BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL"
