"empresa","sku","nombre","total"
"AMX_Ent_2083057","TRCLC","Cloud PBX-VoiceMail",2
"AMX_Ent_2293540","TRCLC","Cloud PBX-VoiceMail",1
"AMX_Ent_2487474","TRCLR","Cloud PBX - Recepcionista",1
"AMX_Ent_1482643","TRCLC","Cloud PBX-VoiceMail",5
"AMX_Ent_2482806","TRCLR","Cloud PBX - Recepcionista",1
"AMX_Ent_1380538","TRCLR","Cloud PBX - Recepcionista",1
"AMX_Ent_2404801","TRCLR","Cloud PBX - Recepcionista",1
"AMX_Ent_1443342","TRCLC","Cloud PBX-VoiceMail",1
"AMX_Ent_1535910","TRCLJ","Cloud PBX - Secretaria",12
"AMX_Ent_1333022","TRCLJ","Cloud PBX - Secretaria",2
"AMX_Ent_2330212","TRCLC","Cloud PBX-VoiceMail",7
"AMX_Ent_1980426","TRCLC","Cloud PBX-VoiceMail",6
"AMX_Ent_2230010","TRCLC","Cloud PBX-VoiceMail",8
"AMX_Ent_1333158","TRCLC","Cloud PBX-VoiceMail",4
"AMX_Ent_1908412","TRCLC","Cloud PBX-VoiceMail",22
"AMX_Ent_1475094","TRCLJ","Cloud PBX - Secretaria",10
"AMX_Ent_1542735","TRCLC","Cloud PBX-VoiceMail",17
"AMX_Ent_1431183","TRCLC","Cloud PBX-VoiceMail",5
"AMX_Ent_1924733","TRCLC","Cloud PBX-VoiceMail",5
"AMX_Ent_1413253","TRCLC","Cloud PBX-VoiceMail",4
"AMX_Ent_1535910","TRCLC","Cloud PBX-VoiceMail",18
"AMX_Ent_1765558","TRCLJ","Cloud PBX - Secretaria",2
"AMX_Ent_1930288","TRCLC","Cloud PBX-VoiceMail",3
"AMX_Ent_1716779","TRCLC","Cloud PBX-VoiceMail",6
"AMX_Ent_1772760","TRCLJ","Cloud PBX - Secretaria",10
"AMX_Ent_2087589","TRCLC","Cloud PBX-VoiceMail",39
"AMX_Ent_2065070","TRCLC","Cloud PBX-VoiceMail",14
"AMX_Ent_2297926","TRCLC","Cloud PBX-VoiceMail",11
"AMX_Ent_2318290","TRCLC","Cloud PBX-VoiceMail",15
"AMX_Ent_2457919","TRCLR","Cloud PBX - Recepcionista",2
"AMX_Ent_1221947","TRCLC","Cloud PBX-VoiceMail",4
"AMX_Ent_1389358","TRCLC","Cloud PBX-VoiceMail",3
"AMX_Ent_2007591","TRCLC","Cloud PBX-VoiceMail",9
"AMX_Ent_1444530","TRCLJ","Cloud PBX - Secretaria",9
"AMX_Ent_2255759","TRCLC","Cloud PBX-VoiceMail",2
"AMX_Ent_1751480","TRCLJ","Cloud PBX - Secretaria",2
"AMX_Ent_2181235","TRCLC","Cloud PBX-VoiceMail",3
"AMX_Ent_2348926","TRCLC","Cloud PBX-VoiceMail",1
"AMX_Ent_1587469","TRCLJ","Cloud PBX - Secretaria",6
"AMX_Ent_1433528","TRCLC","Cloud PBX-VoiceMail",3
"AMX_Ent_1408697","TRCLC","Cloud PBX-VoiceMail",3
"AMX_Ent_2306198","TRCLC","Cloud PBX-VoiceMail",11
"AMX_Ent_1391317","TRCLJ","Cloud PBX - Secretaria",1
"AMX_Ent_2134867","TRCLC","Cloud PBX-VoiceMail",9
"AMX_Ent_2340488","TRCLC","Cloud PBX-VoiceMail",5
"AMX_Ent_2312867","TRCLC","Cloud PBX-VoiceMail",8
"AMX_Ent_2475110","TRCLC","Cloud PBX-VoiceMail",7
"AMX_Ent_1806258","TRCLC","Cloud PBX-VoiceMail",15
"AMX_Ent_2110928","TRCLC","Cloud PBX-VoiceMail",4
"AMX_Ent_2223459","TRCLC","Cloud PBX-VoiceMail",5
"AMX_Ent_1867921","TRCLJ","Cloud PBX - Secretaria",5
"AMX_Ent_1439143","TRCLC","Cloud PBX-VoiceMail",2
"AMX_Ent_2487474","TRCLC","Cloud PBX-VoiceMail",26
"ConectaT","TRCLR","Cloud PBX - Recepcionista",12
"AMX_Ent_2524773","TRCLC","Cloud PBX-VoiceMail",2
"AMX_Ent_2483811","TRCLC","Cloud PBX-VoiceMail",20
"AMX_Ent_1417891","TRCLJ","Cloud PBX - Secretaria",7
"AMX_Ent_1651003","TRCLJ","Cloud PBX - Secretaria",12
"AMX_Ent_1966829","TRCLC","Cloud PBX-VoiceMail",2
"AMX_Ent_2340488","TRCLR","Cloud PBX - Recepcionista",1
"AMX_Ent_2123415","TRCLC","Cloud PBX-VoiceMail",9
"AMX_Ent_2375618","TRCLC","Cloud PBX-VoiceMail",2
"AMX_Ent_2233642","TRCLR","Cloud PBX - Recepcionista",1
"AMX_Ent_1388110","TRCLC","Cloud PBX-VoiceMail",9
"AMX_Ent_2135505","TRCLC","Cloud PBX-VoiceMail",2
"AMX_Ent_1242849","TRCLC","Cloud PBX-VoiceMail",1
"AMX_Ent_1244052","TRCLC","Cloud PBX-VoiceMail",9
"AMX_Ent_1419198","TRCLC","Cloud PBX-VoiceMail",4
"AMX_Ent_2116994","TRCLC","Cloud PBX-VoiceMail",30
"AMX_Ent_2109973","TRCLC","Cloud PBX-VoiceMail",3
"AMX_Ent_1375121","TRCLC","Cloud PBX-VoiceMail",5
"AMX_Ent_2297794","TRCLC","Cloud PBX-VoiceMail",4
"AMX_Ent_2126862","TRCLC","Cloud PBX-VoiceMail",8
"AMX_Ent_1686686","TRCLC","Cloud PBX-VoiceMail",15
"AMX_Ent_1725819","TRCLJ","Cloud PBX - Secretaria",7
"AMX_Ent_1458156","TRCLJ","Cloud PBX - Secretaria",1
"AMX_Ent_1686686","TRCLJ","Cloud PBX - Secretaria",12
"AMX_Ent_1772020","TRCLC","Cloud PBX-VoiceMail",11
"AMX_Ent_1405165","TRCLC","Cloud PBX-VoiceMail",1
"AMX_Ent_2192373","TRCLC","Cloud PBX-VoiceMail",10
"AMX_Ent_1685113","TRCLC","Cloud PBX-VoiceMail",11
"AMX_Ent_1806258","TRCLR","Cloud PBX - Recepcionista",1
"AMX_Ent_1749201","TRCLC","Cloud PBX-VoiceMail",7
"AMX_Ent_2268489","TRCLC","Cloud PBX-VoiceMail",2
"AMX_Ent_1227333","TRCLR","Cloud PBX - Recepcionista",1
"AMX_Ent_1405165","TRCLJ","Cloud PBX - Secretaria",1
"AMX_Ent_1193641","TRCLC","Cloud PBX-VoiceMail",1
