folio,oa,siteNumber,siteName,status,phase,sku,partId,qty,usuariosXSP,usuariosFac
A10191052,394010,71670139,ABASTOS Y DISTRIBUCIONES INSTITUCIONALES SA DE CV,Activo,Operativo,UNC.CUAD.BS.103,36590486,25,25,25
A10191052,394010,71670139,ABASTOS Y DISTRIBUCIONES INSTITUCIONALES SA DE CV,Activo,Operativo,UNC.CUAD.BS.203,36590493,5,0,
A10191052,394010,71670139,ABASTOS Y DISTRIBUCIONES INSTITUCIONALES SA DE CV,Activo,Operativo,UNC.CUAD.BS.901,36590495,25,0,25
A10191052,394010,71670139,ABASTOS Y DISTRIBUCIONES INSTITUCIONALES SA DE CV,Activo,Operativo,UNC.CUAD.BS.902,36590502,1,0,1
A10191052,394010,71670139,ABASTOS Y DISTRIBUCIONES INSTITUCIONALES SA DE CV,Activo,Operativo,UNC.CUAD.BS.201,36590491,1,0,1
A10191434,395088,71670139,ABASTOS Y DISTRIBUCIONES INSTITUCIONALES SA DE CV,Activo,Operativo,UNC.CUAD.BS.103,36630449,31,31,31
A10191434,395088,71670139,ABASTOS Y DISTRIBUCIONES INSTITUCIONALES SA DE CV,Activo,Operativo,UNC.CUAD.BS.201,36630451,2,0,1
A10191434,395088,71670139,ABASTOS Y DISTRIBUCIONES INSTITUCIONALES SA DE CV,Activo,Operativo,UNC.CUAD.BS.203,36630453,10,0,
A10191434,395088,71670139,ABASTOS Y DISTRIBUCIONES INSTITUCIONALES SA DE CV,Activo,Operativo,UNC.CUAD.BS.901,36630455,31,0,31
A09191231,391601,71319105,FUNERARIA SANTA GEMA,Activo,Operativo,UNC.CUAD.BS.101,36288585,9,9,9
A09191231,391601,71319105,FUNERARIA SANTA GEMA,Activo,Operativo,UNC.CUAD.BS.901,36288587,9,0,9
A09190854,390468,71319117,MAUSELEO GAYOSSO TORREON,Activo,Operativo,UNC.CUAD.BS.901,36193713,1,0,1
A08192118,388032,71319117,MAUSELEO GAYOSSO TORREON,Activo,Operativo,UNC.CUAD.BS.101,36120166,1,1,1
A02191790,361260,71319117,MAUSELEO GAYOSSO TORREON,Activo,Operativo,UNC.CUAD.BS.101,34353235,1,1,1
A11180490,346099,71777035,FUERZA DE VENTAS INDEPENDENCIA,Activo,Operativo,UNC.CUAD.BS.101,33689137,32,32,32
A11180490,346099,71777035,FUERZA DE VENTAS INDEPENDENCIA,Activo,Operativo,UNC.CUAD.BS.103,33689139,6,6,6
A11180490,346099,71777035,FUERZA DE VENTAS INDEPENDENCIA,Activo,Operativo,UNC.CUAD.BS.201,33689141,6,0,1
A11180490,346099,71777035,FUERZA DE VENTAS INDEPENDENCIA,Activo,Operativo,UNC.CUAD.BS.902,33689147,1,0,1
A11180490,346099,71777035,FUERZA DE VENTAS INDEPENDENCIA,Activo,Operativo,UNC.CUAD.BS.901,33689144,38,0,38
A10180885,343181,71325154,FUERZA DE VENTAS ELITE,Activo,Planeación,UNC.CUAD.BS.902,33626937,1,0,
A10180885,343181,71325154,FUERZA DE VENTAS ELITE,Activo,Planeación,UNC.CUAD.BS.901,33626921,87,0,
A10180885,343181,71325154,FUERZA DE VENTAS ELITE,Activo,Planeación,UNC.CUAD.BS.201,33626919,3,0,
