"status","cliente","servicio","tags","phase"
"Cancelado","REGIMEN DE PROTECCION SOCIAL EN SALUD DE NUEVO LEON","CUAD-CISCO",,"Operativo"
"Activo","SECRETARIA DE EDUCACION","CUAD-CISCO",,"Nuevo-Operativo"
"Activo","DEXTRA TECHNOLOGIES, S.A. DE C.V.","CUAD-BROADSOFT","[""circulo k""]","Operativo-Desconocido"
"Activo","CECOBAN S.A. DE C.V.","CUAD-BROADSOFT",,"Nuevo-Operativo"
"Cancelado","INSTITUTO NACIONAL ELECTORAL","CUAD-CISCO",,"Desconocido"
"Activo","INSTITUTO SALVATIERRA A.C.","CUAD-BROADSOFT",,"Operativo"
"Activo","CAJA POPULAR MEXICANA","CUAD-CISCO","[""capome""]","Operativo-Desconocido"
"Activo","FIDEICOMISO DE RECUPERACION CREDITICIA","CUAD-BROADSOFT",,"Operativo"
"Cancelado","KIDZANIA DE MEXICO, S.A. DE C.V.","CUAD-BROADSOFT",,"Operativo"
"Activo","HOSPITAL DE ESPECIALIDADES SANTANDER,S.A. DE C.V.","CUAD-BROADSOFT","[""hospital santander""]","Nuevo-Planeación"
"Cancelado","PROGRAMA EDUCACION INICIAL","CUAD-CISCO","[""fundacion_carlos_slim""]","Operativo"
"Cancelado","PM EXPEDITIONS SA DE CV","CUAD-BROADSOFT",,"Operativo"
"Activo","GOBIERNO DEL ESTADO DE MICHOACAN","CUAD-BROADSOFT",,"Nuevo-Planeación-Operativo"
"Activo","DEPARTAMENTAL DE NOVIAS, SAPI DE C.V","CUAD-BROADSOFT",,"Planeación"
"Activo","GOBIERNO DEL DISTRITO FEDERAL","CUAD-BROADSOFT","[""sedeco""]","Nuevo-Planeación-Implementación-Operativo-Desconocido"
"Activo","GAS COMERCIAL DE CAMARGO SA","CUAD-BROADSOFT",,"Nuevo"
"Activo","NACIONAL DE ALIMENTOS Y HELADOS, S.A. DE C.V.","CUAD-BROADSOFT",,"Operativo-Desconocido"
"Activo","BANCA MIFEL S.A. INSTITUCION DE BANCA MULTIPLE GRUPO FINANCIERO MIFEL","CUAD-CISCO",,"Nuevo-Planeación-Implementación-Operativo-Desconocido"
"Activo","BBVA BANCOMER","CUAD-CISCO",,"Nuevo-Planeación-Implementación-Desconocido"
"Activo","SISTEMA ESTATAL ANTICORRUPCION DEL ESTADO DE JALISCO","CUAD-BROADSOFT","[""sesaj""]","Operativo"
"Activo","MAYA MOTRIZ, S.A. DE C.V.","CUAD-AVAYA",,"Operativo"
"Activo","OPTICAS DEVLYN, S.A. DE C.V.","CUAD-BROADSOFT",,"Planeación-Implementación-Operativo"
"Cancelado","HOSPITAL CIVIL DE GUADALAJARA","CUAD-CISCO",,"Desconocido"
"Activo","GAS COMERCIAL DE DELICIAS SA","CUAD-BROADSOFT",,"Nuevo"
"Activo","AUTOTRANSPORTES DE PASAJEROS MEXICO-TOLUCA-SAN LUIS MEXTEPEC-QUERETARO FLECHA RO","CUAD-BROADSOFT",,"Planeación-Operativo"
"Cancelado","UNIVERSIDAD AUTONOMA DEL NORESTE","CUAD-CISCO",,"Desconocido"
"Activo","H. TRIBUNAL SUPERIOR DE JUSTICIA DEL ESTADO DE TLAXCALA","CUAD-BROADSOFT",,"Operativo-Desconocido"
"Cancelado","METSO MEXICO, S.A. DE C.V.","CUAD-BROADSOFT",,"Desconocido"
"Activo","FINCOMUN,SERVICIOS FINANCIEROS COMUNITARIOS S.A DE C.V","CUAD-CISCO",,"Planeación-Implementación-Operativo-Desconocido"
"Activo","GAS COMERCIAL DE JIMENEZ SA","CUAD-BROADSOFT",,"Nuevo"
"Activo","PRESTIGIO MOTRIZ S.A. P.DE I. DE C.V.","CUAD-CISCO",,"Nuevo-Planeación-Implementación-Operativo"
"Cancelado","DESARROLLO OPTIMA SA DE CV","CUAD-BROADSOFT",,"Desconocido"
"Activo","ESCUELA DE ADMINISTRACION PUBLICA DEL DISTRITO FEDERAL","CUAD-BROADSOFT",,"Operativo"
"Activo","SECRETARIADO EJECUTIVO DEL SISTEMA ESTATAL DE SEGURIDAD PUBLICA","CUAD-BROADSOFT","[""sesaj""]","Operativo-Desconocido"
"Activo","AUTOTRANSPORTES VALLE DEL MEZQUITAL S.A. DE C.V.","CUAD-BROADSOFT","[""gvm""]","Operativo"
"Activo","GOLFO MOTRIZ S.A. DE C.V.","CUAD-AVAYA",,"Nuevo"
"Activo","SERVICIO PAN AMERICANO DE PROTECCION","CUAD-BROADSOFT",,"Operativo"
"Activo","METSO MEXICO, S.A. DE C.V.","CUAD-AVAYA",,"Planeación-Implementación"
"Activo","DISTRIBUIDORA SANTIAGO","CUAD-AVAYA",,"Nuevo"
"Activo","ENERGIA NUEVA ENERGIA LIMPIA MEXICO, S. DE R.L. DE C.V.","CUAD-CISCO",,"Nuevo-Planeación"
"Cancelado","OFICINAS CORPORATIVAS GRUPO CHARTWELL","CUAD-CISCO",,"Planeación"
"Activo","OPERADORA ROMANO S.C.","CUAD-AVAYA",,"Planeación-Implementación-Desconocido"
"Activo","SALLES SAINZ GRANT THORNTON S.C.","CUAD-CISCO","[""ssgt""]","Implementación-Operativo-Desconocido"
"Activo","CORPORATIVO BIMBO, S.A. DE C.V.","CUAD-CISCO",,"Planeación-Implementación"
