"tecnología","cliente","sitio","siteName","fcs","status"
"CUAD-CISCO","NACIONAL MONTE DE PIEDAD, I.A.P.",71466592,"SUC 080 IXTAPALUCA EDO MEX","[""A12200307""]","[""Activo""]"
"CUAD-CISCO","NACIONAL MONTE DE PIEDAD, I.A.P.",71466374,"SUC 173 CENTRO MUZQUIZ ECATEPEC MEX","[""A12200310""]","[""Activo""]"
"CUAD-CISCO","NACIONAL MONTE DE PIEDAD, I.A.P.",71466431,"SUC 221 TAXQUEÑA IZTAPALAPA DF","[""A12200314""]","[""Activo""]"
"CUAD-CISCO","NACIONAL MONTE DE PIEDAD, I.A.P.",71762176,"SUC 241 TLALPAN CDMX","[""A12200313""]","[""Activo""]"
"CUAD-CISCO","NACIONAL MONTE DE PIEDAD, I.A.P.",71466437,"SUC 236 GUSTAVO BAZ TLALTEPANTLA MEX","[""A12200320""]","[""Activo""]"
"CUAD-AVAYA","GOBIERNO DEL ESTADO DE PUEBLA.",70168825,"BINE","[""A12200351""]","[""Activo""]"
"CUAD-AVAYA","GOBIERNO DEL ESTADO DE PUEBLA.",71758781,"SAN FELIPE","[""A12200352""]","[""Activo""]"
"CUAD-AVAYA","GOBIERNO DEL ESTADO DE PUEBLA.",71595673,"SEP OFICINAS CENTRALES","[""A12200353""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71856564,"5791 VENADO CENTRO_","[""A12200640"",""A12200643""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",70122099,"6727 ZAMORA AMADO NERVO","[""A12200878""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71855970,"1921 PLAZA ALMANARA","[""A11201310""]","[""Activo""]"
"CUAD-CISCO","ROYAL MOTRIZ S.A. DE C.V.",71855839,"MG MOTORS VHSA","[""A12200280""]","[""Activo""]"
"CUAD-BROADSOFT","LAND IT S.A. DE C.V.",71855790,"CUAD KOLTOV","[""A11200727""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71855768,"2372 HIPOTECARIA PLAYA DEL CARMEN_","[""A11200734""]","[""Activo""]"
"CUAD-AVAYA","BBVA BANCOMER",71855752,"5034 VILLHERMOSA LAS AMERICAS","[""A11200743""]","[""Activo""]"
"CUAD-AVAYA","PRODUCTOS AVICOLAS EL CALVARIO",71855355,"CENTRAL1","[""A11200757""]","[""Activo""]"
"CUAD-CISCO","VILLANUEVA SOLAR SA DE CV",71664182,"ENEL CENACE NORTE GOMEZ PALACIO DURANGO","[""A11200768""]","[""Activo""]"
"CUAD-AVAYA","PRODUCTOS AVICOLAS EL CALVARIO",71855760,"GANADERA","[""A11201156""]","[""Activo""]"
"CUAD-AVAYA","PRODUCTOS AVICOLAS EL CALVARIO",71855762,"CEDIS MEXICO","[""A11201158""]","[""Activo""]"
"CUAD-AVAYA","PRODUCTOS AVICOLAS EL CALVARIO",71855778,"CEDIS PUEBLA SUR","[""A11201160""]","[""Activo""]"
