"folio","oa","servicio","siteId","alcance","partId","sku"
"A10191132",394206,"CUAD-AVAYA",71436678,2,36594258,"UNC.CUAD.AV.902B"
"A10191119",394176,"CUAD-AVAYA",71291503,4,36593651,"UNC.CUAD.AV.901B"
"A10191119",394176,"CUAD-AVAYA",71291503,4,36593657,"UNC.CUAD.AV.902B"
"A10191108",394158,"CUAD-AVAYA",71287126,2,36592962,"UNC.CUAD.AV.901B"
"A10191108",394158,"CUAD-AVAYA",71287126,2,36592966,"UNC.CUAD.AV.902B"
"A10191113",394165,"CUAD-AVAYA",71460105,7,36593153,"UNC.CUAD.AV.901B"
"A10191113",394165,"CUAD-AVAYA",71460105,7,36593162,"UNC.CUAD.AV.902B"
"A10191128",394208,"CUAD-AVAYA",71381467,2,36594280,"UNC.CUAD.AV.902B"
"A10191105",394153,"CUAD-AVAYA",71291510,1,36592807,"UNC.CUAD.AV.903"
"A07191585",382782,"CUAD-AVAYA",71233229,1,35878879,"UNC.CUAD.AVBA101"
"A10191126",394198,"CUAD-AVAYA",71494706,1,36594143,"UNC.CUAD.AV.903"
"A10191127",394210,"CUAD-AVAYA",71773158,1,36594312,"UNC.CUAD.AV.902B"
"A10191118",394173,"CUAD-AVAYA",71460104,1,36593404,"UNC.CUAD.AV.903"
"A10191122",394184,"CUAD-AVAYA",71591213,1,36593786,"UNC.CUAD.AV.903"
"A10191129",394194,"CUAD-AVAYA",71591274,1,36594025,"UNC.CUAD.AV.903"
"A11190090",397381,"CUAD-AVAYA",71833740,3,36677212,"UNC.CUAD.AV.902B"
"A06190434",378149,"CUAD-AVAYA",70122075,59,35705646,"UNC.CUAD.AVED101"
"A06190431",378149,"CUAD-AVAYA",70122072,71,35705499,"UNC.CUAD.AVED101"
"A06190111",376930,"CUAD-AVAYA",71273521,4,35635471,"UNC.CUAD.AVBA101"
"A06190111",376930,"CUAD-AVAYA",71273521,2,35635469,"UNC.CUAD.AVBA100"
"A05193428",376415,"CUAD-AVAYA",71354032,1,35624551,"UNC.CUAD.AVBA101"
"A09190376",389201,"CUAD-AVAYA",70115241,1,36156320,"UNC.CUAD.AVBA101"
"A07191601",382783,"CUAD-AVAYA",71404115,1,35878938,"UNC.CUAD.AVBA101"
"A07191594",382783,"CUAD-AVAYA",70222343,1,35878926,"UNC.CUAD.AVBA101"
"A07191576",382774,"CUAD-AVAYA",71797840,3,35878810,"UNC.CUAD.AVBA101"
"A06190441",378149,"CUAD-AVAYA",70122102,44,35706088,"UNC.CUAD.AVED101"
"A06190441",378149,"CUAD-AVAYA",70122102,2,35706099,"UNC.CUAD.AVED101"
"A10191104",394151,"CUAD-AVAYA",71291510,3,36592792,"UNC.CUAD.AV.901B"
"A10191104",394151,"CUAD-AVAYA",71291510,2,36592797,"UNC.CUAD.AV.902B"
"A09191314",391719,"CUAD-AVAYA",71436433,1,36292363,"UNC.CUAD.AVBA101"
"A07191573",382782,"CUAD-AVAYA",70114530,1,35878858,"UNC.CUAD.AVBA101"
"A06190110",376930,"CUAD-AVAYA",71428717,2,35635486,"UNC.CUAD.AVBA100"
"A06190110",376930,"CUAD-AVAYA",71428717,6,35635488,"UNC.CUAD.AVBA101"
"A05193362",376469,"CUAD-AVAYA",70115486,2,35625035,"UNC.CUAD.AVBA100"
"A05193362",376469,"CUAD-AVAYA",70115486,9,35625037,"UNC.CUAD.AVBA101"
"A10191114",394166,"CUAD-AVAYA",71460105,1,36593186,"UNC.CUAD.AV.903"
"A10191039",394049,"CUAD-AVAYA",71691220,1,36591224,"UNC.CUAD.AV.903"
"A10191052",394010,"CUAD-BROADSOFT",71670139,25,36590486,"UNC.CUAD.BS.103"
"A10191052",394010,"CUAD-BROADSOFT",71670139,5,36590493,"UNC.CUAD.BS.203"
"A10191052",394010,"CUAD-BROADSOFT",71670139,25,36590495,"UNC.CUAD.BS.901"
"A10191052",394010,"CUAD-BROADSOFT",71670139,1,36590502,"UNC.CUAD.BS.902"
"A10191052",394010,"CUAD-BROADSOFT",71670139,1,36590491,"UNC.CUAD.BS.201"
"A07191589",382782,"CUAD-AVAYA",71576810,1,35878885,"UNC.CUAD.AVBA101"
"A07191565",382774,"CUAD-AVAYA",71330016,3,35878782,"UNC.CUAD.AVBA101"
"A06190428",378149,"CUAD-AVAYA",70115427,85,35705272,"UNC.CUAD.AVED101"
"A06190007",376743,"CUAD-AVAYA",70115276,6,35630779,"UNC.CUAD.AVBA101"
"A05193355",376484,"CUAD-AVAYA",70114852,2,35625225,"UNC.CUAD.AVBA100"
"A07191603",382783,"CUAD-AVAYA",71771790,1,35878944,"UNC.CUAD.AVBA101"
"A07191593",382782,"CUAD-AVAYA",71673293,1,35878891,"UNC.CUAD.AVBA101"
