"folio","clientName","status","sku","partId","qty","qtyFac"
"A10191128","ELAI,SC","Activo","UNC.CUAD.AV.902B",36594280,2,"[]"
"A10191132","ELAI,SC","Activo","UNC.CUAD.AV.902B",36594258,2,"[]"
"A10191131","ELAI,SC","Activo","UNC.CUAD.AV.902B",36594241,1,"[]"
"A10191126","ELAI,SC","Activo","UNC.CUAD.AV.903",36594143,1,"[]"
"A10191124","ELAI,SC","Activo","UNC.CUAD.AV.901B",36594107,8,"[]"
"A10191124","ELAI,SC","Activo","UNC.CUAD.AV.902B",36594117,7,"[]"
"A10191129","ELAI,SC","Activo","UNC.CUAD.AV.903",36594025,1,"[]"
"A10191123","ELAI,SC","Activo","UNC.CUAD.AV.903",36593950,1,"[]"
"A10191122","ELAI,SC","Activo","UNC.CUAD.AV.903",36593786,1,"[]"
"A10191119","ELAI,SC","Activo","UNC.CUAD.AV.901B",36593651,4,"[]"
"A10191119","ELAI,SC","Activo","UNC.CUAD.AV.902B",36593657,4,"[]"
"A10191118","ELAI,SC","Activo","UNC.CUAD.AV.903",36593404,1,"[]"
"A10191114","ELAI,SC","Activo","UNC.CUAD.AV.903",36593186,1,"[]"
"A10191113","ELAI,SC","Activo","UNC.CUAD.AV.901B",36593153,7,"[]"
"A10191113","ELAI,SC","Activo","UNC.CUAD.AV.902B",36593162,7,"[]"
"A10191112","ELAI,SC","Activo","UNC.CUAD.AV.903",36593098,1,"[]"
"A10191109","ELAI,SC","Activo","UNC.CUAD.AV.901B",36593080,4,"[]"
"A10191109","ELAI,SC","Activo","UNC.CUAD.AV.902B",36593086,4,"[]"
"A10191108","ELAI,SC","Activo","UNC.CUAD.AV.901B",36592962,2,"[]"
"A10191108","ELAI,SC","Activo","UNC.CUAD.AV.902B",36592966,2,"[]"
"A10191105","ELAI,SC","Activo","UNC.CUAD.AV.903",36592807,1,"[]"
"A10191104","ELAI,SC","Activo","UNC.CUAD.AV.901B",36592792,3,"[]"
"A10191104","ELAI,SC","Activo","UNC.CUAD.AV.902B",36592797,2,"[]"
"A10191053","ELAI,SC","Activo","UNC.CUAD.AV.901B",36591842,100,"[]"
"A10191053","ELAI,SC","Activo","UNC.CUAD.AV.902B",36591944,47,"[]"
"A10191039","ELAI,SC","Activo","UNC.CUAD.AV.903",36591224,1,"[]"
"A11190090","ELAI,SC","Activo","UNC.CUAD.AV.902B",36677212,3,"[]"
"A11190080","ELAI,SC","Activo","UNC.CUAD.AV.902B",36675574,2,"[]"
"A10190966","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36578534,5,"[]"
"A10190957","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36570438,1,"[]"
"A10190955","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36570425,1,"[]"
"A10190845","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36528995,5,"[]"
"A10190860","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36498537,4,"[]"
"A10190857","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36498514,4,"[]"
"A10190857","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36498511,1,"[]"
"A10190857","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36498514,4,"[]"
"A10190852","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36498486,1,"[]"
"A10190852","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36498486,1,"[]"
"A10190852","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36498489,4,"[]"
"A10190850","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36498461,4,"[]"
"A10190850","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36498465,1,"[]"
"A10190850","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36498461,4,"[]"
"A10190839","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36498427,1,"[]"
"A10190839","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36498427,1,"[]"
"A10190839","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36498438,4,"[]"
"A10190153","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36363518,18,"[]"
"A10190103","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",36363470,5,"[]"
"A09191314","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36292363,1,"[]"
"A09191312","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36292357,1,"[]"
"A09190376","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36156320,1,"[]"
"A09190379","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36156326,2,"[]"
"A09190369","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36156309,1,"[]"
"A08190790","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36040810,1,"[]"
"A08190799","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",36040816,1,"[]"
"A07193069","BBVA BANCOMER","Activo","UNC.CUAD.AVED101",35930626,125,"[]"
"A07191701","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35884272,6,"[]"
"A07191699","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35884196,6,"[]"
"A07191623","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35880036,1,"[]"
"A07191603","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878944,1,"[]"
"A07191597","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878932,1,"[]"
"A07191601","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878938,1,"[]"
"A07191594","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878926,1,"[]"
"A07191590","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878920,1,"[]"
"A07191586","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878914,1,"[]"
"A07191581","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878908,1,"[]"
"A07191593","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878891,1,"[]"
"A07191589","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878885,1,"[]"
"A07191585","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878879,1,"[]"
"A07191582","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878873,1,"[]"
"A07191579","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878867,1,"[]"
"A07191575","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878861,1,"[]"
"A07191573","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878858,1,"[]"
"A07191576","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878810,3,"[]"
"A07191572","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878804,1,"[]"
"A07191571","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878802,1,"[]"
"A07191569","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878792,1,"[]"
"A07191569","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878802,1,"[]"
"A07191565","BBVA BANCOMER","Activo","UNC.CUAD.AVBA101",35878782,3,"[]"
