"folio","clientName","status","sku","partId","qty","qtyFac"
"A09170430","BBVA BANCOMER","Activo","UNC.UCAUB.CORE",32006551,18,"[]"
"A09170432","BBVA BANCOMER","Activo","UNC.UCAUB.CORE",32006525,11,"[]"
"V00000001","BBVA BANCOMER","Activo","UNC.CUAD.901.1",24803741,2,"[]"
"V00000002","BBVA BANCOMER","Activo","UNC.CUAD.905.1",24942432,3,"[]"
"V00000002","BBVA BANCOMER","Activo","UNC.CUAD.901.1",24942434,2,"[]"
"V00000002","BBVA BANCOMER","Activo","UNC.CUAD.911.1",24942436,3,"[]"
"V00000003","BBVA BANCOMER","Activo","UNC.CUAD.905.1",24942450,4,"[]"
"V00000003","BBVA BANCOMER","Activo","UNC.CUAD.911.1",24942452,4,"[]"
"V00000003","BBVA BANCOMER","Activo","UNC.CUAD.901.1",24942460,2,"[]"
"V00000004","BBVA BANCOMER","Activo","UNC.CUAD.905.1",24944916,5,"[]"
"V00000004","BBVA BANCOMER","Activo","UNC.CUAD.911.1",24944918,5,"[]"
"V00000004","BBVA BANCOMER","Activo","UNC.CUAD.901.1",24944925,3,"[]"
"V00000005","BBVA BANCOMER","Activo","UNC.CUAD.905.1",24946382,6,"[]"
"V00000005","BBVA BANCOMER","Activo","UNC.CUAD.911.1",24946384,6,"[]"
"V00000005","BBVA BANCOMER","Activo","UNC.CUAD.901.1",24946386,2,"[]"
"V00000006","BBVA BANCOMER","Activo","UNC.CUAD.905.1",25779559,6,"[]"
"V00000006","BBVA BANCOMER","Activo","UNC.CUAD.901.1",25779561,2,"[]"
"V00000006","BBVA BANCOMER","Activo","UNC.CUAD.911.1",25779575,6,"[]"
"V000000010","BBVA BANCOMER","Activo","UNC.CUAD1.911.1",27963078,2,"[]"
"V000000011","BBVA BANCOMER","Activo","UNC.CUAD1.911.1",28178582,2,"[]"
"V000000012","BBVA BANCOMER","Activo","UNC.CUAD1.911.1",28353083,1,"[]"
"V000000013","BBVA BANCOMER","Activo","UNC.CUAD1.911.1",28662822,1,"[]"
"V000000014","BBVA BANCOMER","Activo","UNC.CUAD1.911.1",28662909,1,"[]"
"V000000019","BBVA BANCOMER","Activo","UNC.CUAD1.911.1",30491840,5,"[]"
"V000000019","BBVA BANCOMER","Activo","UNC.CUAD1.901.1",30491842,2,"[]"
"V000000088","BBVA BANCOMER","Activo","UNC.CUAD1.911.1",32551150,1,"[]"
"V0000000672","BBVA BANCOMER","Activo","UNC.CUAD1.911.1",33536843,2,"[]"
"A10190367","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36401269,1,"[1]"
"A10190221","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36399203,9,"[9]"
"A10190219","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36398448,7,"[7]"
"A10190352","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36397068,7,"[7]"
"A10190203","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36396450,6,"[6]"
"A10190200","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36396057,1,"[1]"
"A10190323","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36393961,7,"[7]"
"A10190294","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.918.1",36393328,1,"[]"
"A10190195","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36391724,9,"[9]"
"A10190295","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36389919,9,"[9]"
"A10190289","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36387686,1,"[1]"
"A10190290","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36387486,2,"[2]"
"A10190286","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36387275,1,"[1]"
"A10190182","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36385863,3,"[3]"
"A10190158","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36382561,1,"[1]"
"A10190240","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36377406,9,"[9]"
"A10190140","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36373897,9,"[9]"
"A10190319","SERVICIOS PARA TI S.A. DE C.V.","Activo","UNC.CUAD.912.1",36373703,1,"[1]"
