"folio","servicio"
"A11140091","CUAD-CISCO"
"A12220218","CUAD-BBVA-CISCO"
"A08180195","CUAD-BBVA-CISCO"
"A08180607","CUAD-BBVA-CISCO"
"A06181630","CUAD-BBVA-CISCO"
"A06180723","CUAD-BBVA-CISCO"
"A06180731","CUAD-BBVA-CISCO"
"A04196553","CUAD-BBVA-CISCO"
"A08191406","CUAD-EDIFICIOS-AVAYA"
"A11130088","CUAD-BBVA-CISCO"
"A12220236","CUAD-BBVA-CISCO"
"A10130171","CUAD-CISCO"
"A12120332","CUAD-BBVA-CISCO"
"A12120340","CUAD-BBVA-CISCO"
"A05172213","CUAD-BSFT"
"A05192590","CUAD-BBVA-CISCO"
"A01200941","CUAD-EDIFICIOS-AVAYA"
"A01200943","CUAD-EDIFICIOS-AVAYA"
"A03200128","CUAD-BSFT"
"A07130242","CUAD-CISCO"
"A08191517","CUAD-BSFT"
"A08120040","CUAD-BBVA-CISCO"
"A06181655","CUAD-BBVA-CISCO"
"A10191589","CUAD-BSFT"
"A08191123","CUAD-EDIFICIOS-AVAYA"
"A11130094","CUAD-BBVA-CISCO"
"A10190622","CUAD-EDIFICIOS-AVAYA"
"A08191514","CUAD-BSFT"
"A08180208","CUAD-BBVA-CISCO"
"A09120018","CUAD-BBVA-CISCO"
"A06181654","CUAD-BBVA-CISCO"
"A08191117","CUAD-EDIFICIOS-AVAYA"
"A05191134","CUAD-BBVA-CISCO"
"A10190981","CUAD-CISCO"
"A11190127","CUAD-BSFT"
"A12120342","CUAD-BBVA-CISCO"
"A08191130","CUAD-EDIFICIOS-AVAYA"
"A08180207","CUAD-BBVA-CISCO"
"A12120335","CUAD-BBVA-CISCO"
"A11190569","CUAD-CISCO"
"A08191502","CUAD-BROADSOFT"
"A08191118","CUAD-EDIFICIOS-AVAYA"
"A08191507","CUAD-BROADSOFT"
"A09180995","CUAD-BBVA-CISCO"
"A11190593","CUAD-CISCO"
"A10190395","CUAD-CISCO"
"A10190759","CUAD-BBVA-CISCO"
"A08191509","CUAD-BROADSOFT"
"A11190612","CUAD-CISCO"
"A01200940","CUAD-EDIFICIOS-AVAYA"
"A11190601","CUAD-CISCO"
"A06180732","CUAD-BBVA-CISCO"
"A10190450","CUAD-CISCO"
"A01200934","CUAD-EDIFICIOS-AVAYA"
"A01150054","CUAD-CISCO"
"A10190032","CUAD-CISCO"
"A08180206","CUAD-BBVA-CISCO"
"A11190609","CUAD-CISCO"
"A11190586","CUAD-CISCO"
"A11191163","CUAD-CISCO"
"A11190556","CUAD-CISCO"
"A05192359","CUAD-BSFT"
"A11190570","CUAD-CISCO"
"A08191510","CUAD-BROADSOFT"
"A07200217","CUAD-BROADSOFT"
"A08191338","CUAD-EDIFICIOS-AVAYA"
"A11190597","CUAD-AVAYA"
"A03194230","CUAD-BBVA-CISCO"
"A06190662","CUAD-BROADSOFT"
"A08191513","CUAD-BROADSOFT"
"A06200562","CUAD-CISCO"
"A08191508","CUAD-BROADSOFT"
"A10190967","CUAD-CISCO"
"A11190578","CUAD-CISCO"
"A10200701","CUAD-BROADSOFT"
"A08191499","CUAD-BROADSOFT"
"A10190452","CUAD-CISCO"
"A08190173","CUAD-BSFT"
"A08191512","CUAD-BROADSOFT"
"A11190557","CUAD-CISCO"
"A11190590","CUAD-CISCO"
"A11190413","CUAD-CISCO"
"A08191792","CUAD-BSFT"
"A12191346","CUAD-BBVA-CISCO"
"A08191509","CUAD-BSFT"
"A10190031","CUAD-CISCO"
"A08191504","CUAD-BROADSOFT"
"A10191388","CUAD-BROADSOFT"
