"folio","clientName","siteNumber","oa","service"
"A10191128","ELAI,SC",71381467,394208,"CUAD-AVAYA"
"A10191132","ELAI,SC",71436678,394206,"CUAD-AVAYA"
"A10191131","ELAI,SC",71436680,394201,"CUAD-AVAYA"
"A10191126","ELAI,SC",71494706,394198,"CUAD-AVAYA"
"A10191124","ELAI,SC",71494706,394196,"CUAD-AVAYA"
"A10191129","ELAI,SC",71591274,394194,"CUAD-AVAYA"
"A10191123","ELAI,SC",71331265,394192,"CUAD-AVAYA"
"A10191122","ELAI,SC",71591213,394184,"CUAD-AVAYA"
"A10191119","ELAI,SC",71291503,394176,"CUAD-AVAYA"
"A10191118","ELAI,SC",71460104,394173,"CUAD-AVAYA"
"A10191114","ELAI,SC",71460105,394166,"CUAD-AVAYA"
"A10191113","ELAI,SC",71460105,394165,"CUAD-AVAYA"
"A10191112","ELAI,SC",71291504,394164,"CUAD-AVAYA"
"A10191109","ELAI,SC",71291504,394161,"CUAD-AVAYA"
"A10191108","ELAI,SC",71287126,394158,"CUAD-AVAYA"
"A10191105","ELAI,SC",71291510,394153,"CUAD-AVAYA"
"A10191104","ELAI,SC",71291510,394151,"CUAD-AVAYA"
"A10191053","ELAI,SC",71691220,394068,"CUAD-AVAYA"
"A10191039","ELAI,SC",71691220,394049,"CUAD-AVAYA"
"A11190090","ELAI,SC",71833740,397381,"CUAD-AVAYA"
"A11190080","ELAI,SC",71436670,397365,"CUAD-AVAYA"
"A10190966","BBVA BANCOMER",71830342,393858,"CUAD-AVAYA"
"A10190957","BBVA BANCOMER",71826286,393843,"CUAD-AVAYA"
"A10190955","BBVA BANCOMER",71786754,393843,"CUAD-AVAYA"
"A10190845","BBVA BANCOMER",71826276,393710,"CUAD-AVAYA"
"A10190860","BBVA BANCOMER",71830347,393664,"CUAD-AVAYA"
"A10190857","BBVA BANCOMER",71830194,393664,"CUAD-AVAYA"
"A10190852","BBVA BANCOMER",71830191,393664,"CUAD-AVAYA"
"A10190850","BBVA BANCOMER",71830186,393664,"CUAD-AVAYA"
"A10190839","BBVA BANCOMER",71830178,393664,"CUAD-AVAYA"
"A10190153","BBVA BANCOMER",70122095,392544,"CUAD-AVAYA"
"A10190103","BBVA BANCOMER",70122076,392544,"CUAD-AVAYA"
"A09191314","BBVA BANCOMER",71436433,391719,"CUAD-AVAYA"
"A09191312","BBVA BANCOMER",70115474,391719,"CUAD-AVAYA"
"A09190376","BBVA BANCOMER",70115241,389201,"CUAD-AVAYA"
"A09190379","BBVA BANCOMER",71354031,389201,"CUAD-AVAYA"
"A09190369","BBVA BANCOMER",71673740,389199,"CUAD-AVAYA"
"A08190790","BBVA BANCOMER",71283484,385127,"CUAD-AVAYA"
"A08190799","BBVA BANCOMER",71587407,385127,"CUAD-AVAYA"
"A07193069","BBVA BANCOMER",71696904,383584,"CUAD-AVAYA"
"A07191701","BBVA BANCOMER",70114486,382988,"CUAD-AVAYA"
"A07191699","BBVA BANCOMER",70114486,382983,"CUAD-AVAYA"
"A07191623","BBVA BANCOMER",71779080,382873,"CUAD-AVAYA"
"A07191603","BBVA BANCOMER",71771790,382783,"CUAD-AVAYA"
"A07191597","BBVA BANCOMER",71253568,382783,"CUAD-AVAYA"
"A07191601","BBVA BANCOMER",71404115,382783,"CUAD-AVAYA"
"A07191594","BBVA BANCOMER",70222343,382783,"CUAD-AVAYA"
"A07191590","BBVA BANCOMER",70115624,382783,"CUAD-AVAYA"
"A07191586","BBVA BANCOMER",70115200,382783,"CUAD-AVAYA"
"A07191581","BBVA BANCOMER",70114321,382783,"CUAD-AVAYA"
"A07191593","BBVA BANCOMER",71673293,382782,"CUAD-AVAYA"
"A07191589","BBVA BANCOMER",71576810,382782,"CUAD-AVAYA"
"A07191585","BBVA BANCOMER",71233229,382782,"CUAD-AVAYA"
"A07191582","BBVA BANCOMER",70122010,382782,"CUAD-AVAYA"
"A07191579","BBVA BANCOMER",70118881,382782,"CUAD-AVAYA"
"A07191575","BBVA BANCOMER",70115749,382782,"CUAD-AVAYA"
"A07191573","BBVA BANCOMER",70114530,382782,"CUAD-AVAYA"
"A07191576","BBVA BANCOMER",71797840,382774,"CUAD-AVAYA"
"A07191572","BBVA BANCOMER",71587407,382774,"CUAD-AVAYA"
"A07191571","BBVA BANCOMER",71436354,382774,"CUAD-AVAYA"
"A07191569","BBVA BANCOMER",71436354,382774,"CUAD-AVAYA"
"A07191565","BBVA BANCOMER",71330016,382774,"CUAD-AVAYA"
"A07191562","BBVA BANCOMER",70115179,382774,"CUAD-AVAYA"
"A07191560","BBVA BANCOMER",70115130,382774,"CUAD-AVAYA"
"A07191518","BBVA BANCOMER",70115019,382599,"CUAD-AVAYA"
"A07191336","BBVA BANCOMER",71824915,382371,"CUAD-AVAYA"
"A07191209","BBVA BANCOMER",71414601,381907,"CUAD-AVAYA"
"A07191086","BBVA BANCOMER",70122076,381612,"CUAD-AVAYA"
"A07190862","BBVA BANCOMER",71348456,378581,"CUAD-AVAYA"
"A07190871","BBVA BANCOMER",70122129,378581,"CUAD-AVAYA"
"A07190827","BBVA BANCOMER",70115752,378581,"CUAD-AVAYA"
"A07190825","BBVA BANCOMER",70118534,378581,"CUAD-AVAYA"
"A06190448","BBVA BANCOMER",70122108,378149,"CUAD-AVAYA"
"A06190438","BBVA BANCOMER",70122102,378149,"CUAD-AVAYA"
"A06190439","BBVA BANCOMER",70122104,378149,"CUAD-AVAYA"
"A06190441","BBVA BANCOMER",70122102,378149,"CUAD-AVAYA"
"A06190445","BBVA BANCOMER",70122098,378149,"CUAD-AVAYA"
"A06190442","BBVA BANCOMER",70122083,378149,"CUAD-AVAYA"
"A06190436","BBVA BANCOMER",70122079,378149,"CUAD-AVAYA"
"A06190434","BBVA BANCOMER",70122075,378149,"CUAD-AVAYA"
"A06190431","BBVA BANCOMER",70122072,378149,"CUAD-AVAYA"
