"folio","oa","emission","siteNumber","siteName","service","clientName"
"A10191127",394210,"2019-10-10T05:00:00.000Z",71773158,"TEXCOCO ELAI","CUAD-AVAYA","ELAI,SC"
"A10191121",394189,"2019-10-10T05:00:00.000Z",71331265,"INGENIO TABASCO","CUAD-AVAYA","ELAI,SC"
"A10190966",393858,"2019-10-08T05:00:00.000Z",71830342,"3720 PICACHO-AJUSCO","CUAD-AVAYA","BBVA BANCOMER"
"A10190957",393843,"2019-10-08T05:00:00.000Z",71826286,"6643 LAS CHOAPAS","CUAD-AVAYA","BBVA BANCOMER"
"A10190955",393843,"2019-10-08T05:00:00.000Z",71786754,"1017 HERMOSA PROVINCIA 2018","CUAD-AVAYA","BBVA BANCOMER"
"A10190845",393710,"2019-10-07T05:00:00.000Z",71826276,"3968 LORETO CENTRO R","CUAD-AVAYA","BBVA BANCOMER"
"A10190860",393664,"2019-10-07T05:00:00.000Z",71830347,"0577 MINATITLAN JUSTO SIERRA","CUAD-AVAYA","BBVA BANCOMER"
"A10190857",393664,"2019-10-07T05:00:00.000Z",71830194,"1432 SAMS MEXICO 68 CULIACAN","CUAD-AVAYA","BBVA BANCOMER"
"A10190852",393664,"2019-10-07T05:00:00.000Z",71830191,"1491 PLAZA SENDERO MEXICALI","CUAD-AVAYA","BBVA BANCOMER"
"A10190850",393664,"2019-10-07T05:00:00.000Z",71830186,"1520 PLAZA 450 DURANGO","CUAD-AVAYA","BBVA BANCOMER"
"A10190839",393664,"2019-10-07T05:00:00.000Z",71830178,"1482 CENTRO COMERCIAL ALDEA GUANAJUATO","CUAD-AVAYA","BBVA BANCOMER"
"A10190153",392544,"2019-10-01T05:00:00.000Z",70122095,"5882 TLAXCALA OFNA PRINCIPAL","CUAD-AVAYA","BBVA BANCOMER"
"A10190103",392544,"2019-10-01T05:00:00.000Z",70122076,"3915 CUERNAVACA PLAN DE AYALA","CUAD-AVAYA","BBVA BANCOMER"
"A09191314",391719,"2019-09-26T05:00:00.000Z",71436433,"1818 EMPRESAS DF POLANCO","CUAD-AVAYA","BBVA BANCOMER"
"A09191312",391719,"2019-09-26T05:00:00.000Z",70115474,"5454 PUERTO VALLARTA PLAZA CARACOL","CUAD-AVAYA","BBVA BANCOMER"
"A09190376",389201,"2019-09-05T05:00:00.000Z",70115241,"5609 HUAUCHINANGO","CUAD-AVAYA","BBVA BANCOMER"
"A09190379",389201,"2019-09-05T05:00:00.000Z",71354031,"4666 PLAZA VALLE ORIZABA","CUAD-AVAYA","BBVA BANCOMER"
"A09190369",389199,"2019-09-05T05:00:00.000Z",71673740,"5600 PACHUCA TASTILLO","CUAD-AVAYA","BBVA BANCOMER"
"A08190790",385127,"2019-08-08T05:00:00.000Z",71283484,"5204 SAN MIGUEL ALLENDE PZA LUCIERNAGA","CUAD-AVAYA","BBVA BANCOMER"
"A08190799",385127,"2019-08-08T05:00:00.000Z",71587407,"5062 HERMOSILLO SOLARIDAD","CUAD-AVAYA","BBVA BANCOMER"
"A07193069",383584,"2019-07-24T05:00:00.000Z",71696904,"2432 GENOVA CER","CUAD-AVAYA","BBVA BANCOMER"
"A07191701",382988,"2019-07-18T05:00:00.000Z",70114486,"423 GUADALAJARA AMERICAS NERUDA","CUAD-AVAYA","BBVA BANCOMER"
"A07191699",382983,"2019-07-18T05:00:00.000Z",70114486,"423 GUADALAJARA AMERICAS NERUDA","CUAD-AVAYA","BBVA BANCOMER"
"A07191623",382873,"2019-07-18T05:00:00.000Z",71779080,"SITE 1462 GALERIAS LAGUNA (SITE)","CUAD-AVAYA","BBVA BANCOMER"
"A07191603",382783,"2019-07-17T05:00:00.000Z",71771790,"316 VENTURA PUENTE","CUAD-AVAYA","BBVA BANCOMER"
"A07191597",382783,"2019-07-17T05:00:00.000Z",71253568,"5201 CHEDRAUI AJUSCO","CUAD-AVAYA","BBVA BANCOMER"
"A07191601",382783,"2019-07-17T05:00:00.000Z",71404115,"4719 CIUDAD GRANJA","CUAD-AVAYA","BBVA BANCOMER"
"A07191594",382783,"2019-07-17T05:00:00.000Z",70222343,"5031 CHETUMAL PLAZA LAS AMERICAS","CUAD-AVAYA","BBVA BANCOMER"
"A07191590",382783,"2019-07-17T05:00:00.000Z",70115624,"5803 HERMOSILLO VERACRUZ","CUAD-AVAYA","BBVA BANCOMER"
"A07191586",382783,"2019-07-17T05:00:00.000Z",70115200,"1098 ZAPOTLANEJO","CUAD-AVAYA","BBVA BANCOMER"
"A07191581",382783,"2019-07-17T05:00:00.000Z",70114321,"242  NINO PERDIDO","CUAD-AVAYA","BBVA BANCOMER"
"A07191593",382782,"2019-07-17T05:00:00.000Z",71673293,"3629 COMERCIAL MEXICANA ARAGON","CUAD-AVAYA","BBVA BANCOMER"
"A07191589",382782,"2019-07-17T05:00:00.000Z",71576810,"744 ABASTOS CULIACAN","CUAD-AVAYA","BBVA BANCOMER"
