"folio","siteNumber","siteName","clientName","oa","emission","service"
"A10191127",71773158,"TEXCOCO ELAI","ELAI,SC",394210,"2019-10-10T05:00:00.000Z","CUAD-AVAYA"
"A10191121",71331265,"INGENIO TABASCO","ELAI,SC",394189,"2019-10-10T05:00:00.000Z","CUAD-AVAYA"
"A10190966",71830342,"3720 PICACHO-AJUSCO","BBVA BANCOMER",393858,"2019-10-08T05:00:00.000Z","CUAD-AVAYA"
"A10190957",71826286,"6643 LAS CHOAPAS","BBVA BANCOMER",393843,"2019-10-08T05:00:00.000Z","CUAD-AVAYA"
"A10190955",71786754,"1017 HERMOSA PROVINCIA 2018","BBVA BANCOMER",393843,"2019-10-08T05:00:00.000Z","CUAD-AVAYA"
"A10190845",71826276,"3968 LORETO CENTRO R","BBVA BANCOMER",393710,"2019-10-07T05:00:00.000Z","CUAD-AVAYA"
"A10190860",71830347,"0577 MINATITLAN JUSTO SIERRA","BBVA BANCOMER",393664,"2019-10-07T05:00:00.000Z","CUAD-AVAYA"
"A10190857",71830194,"1432 SAMS MEXICO 68 CULIACAN","BBVA BANCOMER",393664,"2019-10-07T05:00:00.000Z","CUAD-AVAYA"
"A10190852",71830191,"1491 PLAZA SENDERO MEXICALI","BBVA BANCOMER",393664,"2019-10-07T05:00:00.000Z","CUAD-AVAYA"
"A10190850",71830186,"1520 PLAZA 450 DURANGO","BBVA BANCOMER",393664,"2019-10-07T05:00:00.000Z","CUAD-AVAYA"
"A10190839",71830178,"1482 CENTRO COMERCIAL ALDEA GUANAJUATO","BBVA BANCOMER",393664,"2019-10-07T05:00:00.000Z","CUAD-AVAYA"
"A10190153",70122095,"5882 TLAXCALA OFNA PRINCIPAL","BBVA BANCOMER",392544,"2019-10-01T05:00:00.000Z","CUAD-AVAYA"
"A10190103",70122076,"3915 CUERNAVACA PLAN DE AYALA","BBVA BANCOMER",392544,"2019-10-01T05:00:00.000Z","CUAD-AVAYA"
"A09191314",71436433,"1818 EMPRESAS DF POLANCO","BBVA BANCOMER",391719,"2019-09-26T05:00:00.000Z","CUAD-AVAYA"
"A09191312",70115474,"5454 PUERTO VALLARTA PLAZA CARACOL","BBVA BANCOMER",391719,"2019-09-26T05:00:00.000Z","CUAD-AVAYA"
"A09190376",70115241,"5609 HUAUCHINANGO","BBVA BANCOMER",389201,"2019-09-05T05:00:00.000Z","CUAD-AVAYA"
"A09190379",71354031,"4666 PLAZA VALLE ORIZABA","BBVA BANCOMER",389201,"2019-09-05T05:00:00.000Z","CUAD-AVAYA"
"A09190369",71673740,"5600 PACHUCA TASTILLO","BBVA BANCOMER",389199,"2019-09-05T05:00:00.000Z","CUAD-AVAYA"
"A08190790",71283484,"5204 SAN MIGUEL ALLENDE PZA LUCIERNAGA","BBVA BANCOMER",385127,"2019-08-08T05:00:00.000Z","CUAD-AVAYA"
"A08190799",71587407,"5062 HERMOSILLO SOLARIDAD","BBVA BANCOMER",385127,"2019-08-08T05:00:00.000Z","CUAD-AVAYA"
