"_id","total"
"Eficentrum",36
"2019_Oficinas_Centrales_GDL",55
"CJIM_MICH",21
"Corp_HeroresdeChapultepec_OAX",14
"Edificio_Administrativo_ZAC",2
"5_de_Febrero_Qro",33
"El_Pueblito_QRO",1
"Carrier_Cuautitlan_MEX",2
"Satelite_QRO",1
"Bondojito_CDMX",58
"MEX_RPV_Sanissimo_0_N.L",31
"UNO_TV_CDMX",168
"San_Luis_Potosi_SLP",20
"MEX_Barcel_Occidente_GDL",65
"Queretaro_QRO",1
"MEX_RPV_Toluca_1_MEX",38
"Park_Plaza_Santa_Fe_CDMX",251
"MEX_Industrial_del_Maiz_HGO",31
"Santa_Gema_BCN",61
"Abadi_CDMX",59
"Pensilvanya_CDMX",17
"Polanco_CDMX",50
"MEX_RPV_Puebla_III_PUE",11
"Santuario_SLP",1
"JVM_Zacatecas_ZAC",2
"Seguritec_CDMX",5
"Lomas_QRO",1
"CULTURA",4
"SEPSA_CDMX",5
"6_DIF_CDMX",16
"Cobaem_MICH",21
"Monterrey_NL",29
