"clientName","serviceProviderId","rfc","siteName","siteNumber","groupId","groupName","tecnologia"
"MODATELAS","MODATELAS","MOD041014KI3","SANANDRESTUXTLA",71467521,,,"CUAD-BROADSOFT"
"MODATELAS","MODATELAS","MOD041014KI3","TUXPAN",71467520,,,"CUAD-BROADSOFT"
"MODATELAS","MODATELAS","MOD041014KI3","HUAMANTLAII",71467519,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","OAXACA2",71467574,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SANJUANDELRIO",71467573,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ECATEPECIII",71467572,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ZIHUATANEJOII",71467571,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CDCONSTITUCION",71467570,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","LOSREYESMICH",71467569,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TIJUANAVII",71467568,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MONTERREYIX ESCOBEDO",71467567,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CDHIDALGO",71467565,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SANLUISRIOCOLORADO",71467564,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","JEREZ ZACATECAS",71467562,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MERIDAIV",71467561,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MAZATLANIII",71467560,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MAZATLANII",71467559,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","NOGALES",71467558,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","NAVOJOA",71467557,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","LAPAZII",71467556,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","LAPAZ",71467555,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","LOSCABOS",71467554,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","GUASAVE",71467553,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","HERMOSILLO",71467552,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CULIACANIII",71467551,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","LOSMOCHIS",71467550,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CDOBREGON",71467549,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CULIACANI",71467548,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MAZATLAN",71467547,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SANTIAGOPAPASQUIARO",71467546,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MATAMOROSCOAHUILA",71467545,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TORREONII",71467544,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CDCAMARGO",71467543,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SANPEDRODELASCOLONIAS",71467542,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CHIHUAHUAIII",71467541,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CDCUAUHTEMOC",71467540,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CHIHUAHUA",71467539,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","PARRAL",71467538,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","DURANGO",71467537,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","GOMEZPALACIO",71467536,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TORREON",71467535,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CDJUAREZIII",71467534,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CD JUAREZ II",71467533,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CD JUAREZ",71467532,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SANMARTINTEXMELUCAN PUE",71467531,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ZACATLANII",71467530,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ZACUALTIPAN",71467529,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","SANMARTINTEXMELUCAN",71467528,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","VERACRUZIII",71467518,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","HUEJUTLA",71467517,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TEHUACANII",71467516,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MARTINEZDELATORRE",71467515,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TEZIUTLAN",71467514,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","ZACATLAN",71467513,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CHOLULA",71467512,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","IZUCARDEMATAMOROS",71467511,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","MINATITLAN",71467510,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TULA",71467509,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TLAXCALA",71467508,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","COATZACOALCOS",71467507,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TEHUACAN",71467506,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","PUEBLAII",71467505,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","TULANCINGO",71467504,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","JALAPA",71467503,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","CD MENDOZA",71467502,,,"CUAD-BROADSOFT"
"MODATELAS","Modatelas","MOD041014KI3","PUEBLA",71467501,,,"CUAD-BROADSOFT"
