"total","empresa"
1,"GEM"
1,"Hospital_Santander"
2,"Euro_Alarmas"
1,"Nuestra_Caja"
1,"CCA"
1,"AMX_Ent_2414026_CUAD"
7,"LandIT"
1,"CPM"
1,"DIEHL"
1,"SODEXO"
1,"Lideres_SIO"
1,"Generadora_Fenix"
1,"KAA"
1,"H_TSJET"
1,"GVM"
1,"EAP"
2,"Telmex"
1,"Fundacion_Carlos_Slim"
3,"MTBM"
23,"LALA"
7,"Operadora Romano"
1,"Euroelectrica"
39,"GCM"
13,"CEM"
1,"Instituto_Planeacion_Nayarit"
1,"SFGEBCS"
1,"Bufete_RM"
1,"SESAJ"
1,"DMH"
1,"Super_Q"
2,"Audioconferencias_Telmex"
7,"Vsys"
3,"kidzania"
1,"Dextra_TECH"
1,"VSF"
7,"SPE"
2,"ATP_Flecha_Roja"
2,"FGE"
1,"DMHS"
4,"NSJPBCS"
9,"Famosa"
3,"PGJ_MICH"
2,"Modatelas"
2,"Corporacion_El_Asturiano"
1,"Safety_Textiles"
1,"Multiservicios_Nieto"
1,"Fidere_III"
9,"BIMBO"
1,"Fundacion_TELMEX"
1,"IEEG"
3,"Diageo"
3,"Gayosso"
2,"Jugos_del_Valle"
1,"AMX_Contenido"
1,"HCDG"
1,"Instituto_Salvatierra"
2,"bsft"
1,"FOVISEC"
1,"GVE"
1,"DURAPLAY"
1,"JEC"
1,"EME"
1,"Financiera_Ayudamos"
1,"GFC"
2,"UANE"
1,"Troncal_IP"
1,"NAH"
10,"APA"
72,"PROVIDENT"
1,"Te_creemos"
1,"fiscaliatabasco"
2,"SPA"
1,"GDF"
1,"FCI_Administradora"
2,"STM"
