"Empresa","CSP","Qty"
"GEM","2BUSINESSLINE",30
"GEM","4PERSONALMOBILITY",10
"GEM","5PREMIUM",10
"ASLO","BroadTouch Business Communicator Desktop - Video",1
"ASLO","BroadTouch Business Communicator Desktop",1
"ASLO","1BASE",1
"Instituto_Planeacion_Nayarit","Messaging",17
"Instituto_Planeacion_Nayarit","Integrated IMP",17
"Instituto_Planeacion_Nayarit","Collaborate",17
"Instituto_Planeacion_Nayarit","BroadTouch Business Communicator Mobile - Video",17
"Instituto_Planeacion_Nayarit","2BUSINESSLINE",17
"Instituto_Planeacion_Nayarit","4PERSONALMOBILITY",17
"Instituto_Planeacion_Nayarit","BroadTouch Business Communicator Tablet - Video",17
"Instituto_Planeacion_Nayarit","1BASE",17
"Instituto_Planeacion_Nayarit","3STANDARD",17
"FGE","Messaging",34
"FGE","Integrated IMP",34
"FGE","Collaborate",34
"FGE","BroadTouch Business Communicator Desktop - Video",34
"PGJ_MICH","BroadTouch Business Communicator Tablet - Video",27
"PGJ_MICH","2BUSINESSLINE",150
"Nuestra_Caja","BroadTouch Business Communicator Tablet - Video",2
"Operadora Romano","BroadTouch Business Communicator Tablet - Video",22
"Operadora Romano","BroadTouch Business Communicator Desktop - Video",34
"FOVISEC","2BUSINESSLINE",25
"Operadora Romano","Integrated IMP",23
"ASLO","BroadTouch Business Communicator Mobile - Audio",1
"Operadora Romano","1BASE",504
"Te_creemos","BroadTouch Business Communicator Tablet - Video",164
"NSJPBCS","BroadTouch Business Communicator Desktop - Video",4
"DURAPLAY","BroadTouch Business Communicator Tablet - Video",2
"NSJPBCS","5PREMIUM",6
"NSJPBCS","2BUSINESSLINE",39
"NAH","1BASE",10
"Vsys","2BUSINESSLINE",288
"Modatelas","Collaborate",14
"SPA","Messaging",625
"Modatelas","BroadTouch Business Communicator Tablet - Video",23
"Modatelas","Integrated IMP",21
"NSJPBCS","4PERSONALMOBILITY",4
"Jugos_del_Valle","3STANDARD",7
"Modatelas","2BUSINESSLINE",366
"KAA","Messaging",39
"PGJ_MICH","1BASE",150
"IEEG","Integrated IMP",16
"PGJ_MICH","BroadTouch Business Communicator Mobile - Video",27
"Operadora Romano","5PREMIUM",71
"AMX_Contenido","1BASE",167
"Lideres_SIO","2BUSINESSLINE",102
"Lideres_SIO","1BASE",102
"Licenciamiento","Collaborate",2
"LandIT","Integrated IMP",87
"Corporacion_El_Asturiano","1BASE",30
"Licenciamiento","5PREMIUM",8
"Euro_Alarmas","2BUSINESSLINE",27
"Licenciamiento","Integrated IMP",6
"LALA","BroadTouch Business Communicator Tablet - Video",2425
"NSJPBCS","Messaging",4
"LALA","5PREMIUM",2802
"KAA","5PREMIUM",7
"Instituto_Salvatierra","Integrated IMP",11
"Te_creemos","BroadTouch Business Communicator Mobile - Video",164
"JEC","BroadTouch Business Communicator Desktop - Video",10
"JEC","BroadTouch Business Communicator Mobile - Video",10
"CCA","Collaborate",13
"JEC","1BASE",40
"Generadora_Fenix","1BASE",93
"Licenciamiento","4PERSONALMOBILITY",6
"Instituto_Salvatierra","Collaborate",11
"JEC","4PERSONALMOBILITY",10
"STM","4PERSONALMOBILITY",36
"IEEG","Collaborate",15
"Instituto_Salvatierra","4PERSONALMOBILITY",11
"LALA","BroadTouch Business Communicator Desktop - Video",2425
"Instituto_Salvatierra","BroadTouch Business Communicator Tablet - Video",11
"IEEG","BroadTouch Business Communicator Tablet - Video",16
"Super_Q","Collaborate",11
"Nuestra_Caja","BroadTouch Business Communicator Desktop - Video",2
"IEEG","5PREMIUM",47
"DMHS","4PERSONALMOBILITY",12
"Te_creemos","BroadTouch Business Communicator Desktop - Video",164
"Generadora_Fenix","3STANDARD",28
"Corporacion_El_Asturiano","3STANDARD",2
"H_TSJET","Messaging",40
"Licenciamiento","3STANDARD",5
"LALA","1BASE",2799
"Financiera_Ayudamos","5PREMIUM",4
"H_TSJET","BroadTouch Business Communicator Desktop - Video",10
"H_TSJET","2BUSINESSLINE",141
"EAP","4PERSONALMOBILITY",9
"Vsys","1BASE",292
"Vsys","Prepaid",13
"Cometra","3STANDARD",15
"HCDG","Messaging",475
"IEEG","BroadTouch Business Communicator Mobile - Video",17
"HCDG","Integrated IMP",475
"HCDG","Collaborate",475
"HCDG","BroadTouch Business Communicator Mobile - Video",475
"SODEXO","4PERSONALMOBILITY",48
"HCDG","4PERSONALMOBILITY",475
"Famosa","BroadTouch Business Communicator Desktop",1
"Modatelas","4PERSONALMOBILITY",183
"Operadora Romano","2BUSINESSLINE",504
"HCDG","1BASE",475
"Telmex","2BUSINESSLINE",3393
"FGE","4PERSONALMOBILITY",49
"Diageo","BroadWorks Receptionist - Enterprise",2
"JEC","3STANDARD",40
"KAA","4PERSONALMOBILITY",7
"HCDG","BroadTouch Business Communicator Desktop - Video",475
"Gayosso","BroadTouch Business Communicator Desktop - Video",45
"BIMBO","BroadTouch Business Communicator Tablet - Video",11
"Gayosso","BroadTouch Business Communicator Tablet - Video",43
"Audioconferencias_Telmex","1BASE",1
"FOVISEC","4PERSONALMOBILITY",3
"GVE","Messaging",2
"NAH","4PERSONALMOBILITY",3
"Vsys","4PERSONALMOBILITY",249
"LALA","2BUSINESSLINE",2802
"DMHS","Collaborate",12
"Telmex","1BASE",3393
"Licenciamiento","BroadTouch Business Communicator Desktop - Video",4
"SPA","1BASE",698
"Bufete_RM","Messaging",38
"SESESP","1BASE",54
"GVE","BroadTouch Business Communicator Tablet - Video",2
"bsft","1BASE",21
"Licenciamiento","Number Portability Announcement",2
"GVE","1BASE",281
"LandIT","BroadTouch Business Communicator Desktop - Video",89
"Gayosso","Messaging",43
"CAO-TELMEX","Integrated IMP",51
"Gayosso","1BASE",598
"GFC","Messaging",6
"GDF","Integrated IMP",55
"Instituto_Salvatierra","5PREMIUM",12
"GFC","BroadTouch Business Communicator Mobile - Video",6
"LALA","Integrated IMP",2425
"Bufete_RM","1BASE",37
"STM","5PREMIUM",37
"EME","5PREMIUM",4
"GDF","Messaging",55
"GDF","BroadTouch Business Communicator Desktop - Video",55
"Famosa","BroadTouch Business Communicator Tablet - Video",28
"Fidere_III","Messaging",6
"GDF","BroadTouch Business Communicator Mobile - Video",55
"MTBM","1BASE",79
"Gayosso","4PERSONALMOBILITY",53
"DURAPLAY","1BASE",24
"H_TSJET","Integrated IMP",10
"Generadora_Fenix","Messaging",93
"Generadora_Fenix","5PREMIUM",28
"NAH","2BUSINESSLINE",10
"GDF","4PERSONALMOBILITY",55
"Diageo","2BUSINESSLINE",130
"APA","BroadTouch Business Communicator Desktop - Video",2
"GDF","1BASE",55
