"_id","name","data","price","type"
"UNC.CUAD60.BS.TRIO","Polycom RealPresence Trio 8800","(2) GigaEthernet",1233,
"UNC.CUAD60.BS.902","Gestión Unitaria Chasis (Gateway)",,719,
"UNC.CUAD60.BS.901","Reportes",,19,
"UNC.CUAD60.BS.429","Polycom Fuente para VVX (301, 311, 401, 411, 501, 601)",,18,
"UNC.CUAD60.BS.428","Polycom VVX 601","(2) GigaEthernet",156,
"UNC.CUAD60.BS.427","Polycom VVX 501","(2) GigaEthernet",130,
"UNC.CUAD60.BS.426","Polycom VVX 411","(2) GigaEthernet",110,
"UNC.CUAD60.BS.425","Polycom VVX 401","(2) GigaEthernet",99,
"UNC.CUAD60.BS.424","Polycom VVX 311","(2) GigaEthernet",89,
"UNC.CUAD60.BS.423","Polycom VVX 301","(2) GigaEthernet",78,
"UNC.CUAD60.BS.419","Polycom VVX Expansion Module (Color)",,125,
"UNC.CUAD60.BS.417","Polycom VVX Camera",,74,
"UNC.CUAD60.BS.416","SoundStation IP 6000 (Incluye Fuente de AC)","(1) FastEthernet",299,
"UNC.CUAD60.BS.415","SoundStation IP 5000","(1) FastEthernet",188,
"UNC.CUAD60.BS.313","Tarjeta E1 (Voz)","Atlas 260/360",723,
"UNC.CUAD60.BS.312","Tarjeta G.703","Atlas 260/360",335,
"UNC.CUAD60.BS.311","Tarjeta G.703","M1",261,
"UNC.CUAD60.BS.310","Kit PoE para Atlas 360 (16 Puertos)","Atlas 360",723,
"UNC.CUAD60.BS.309","Fuente PoE para Atlas 60 (8 Puertos)","Atlas 60",201,
"UNC.CUAD60.BS.308","Tarjeta 4 FXO","Atlas 260/360",411,
"UNC.CUAD60.BS.307","Tarjeta 2 FXO","Atlas 260/360",252,
"UNC.CUAD60.BS.306","Tarjeta V.35","Atlas 260/360",90,
"UNC.CUAD60.BS.305","Tarjeta V.35","M1",90,
"UNC.CUAD60.BS.304","Atlas 360 - (2) Giga Eth WAN + (4) Slots      << 300 Usuarios>>",,2715,
"UNC.CUAD60.BS.303","Atlas 260 - (2) Giga Eth WAN + (3) Slots      << 300 Usuarios>>",,1596,
"UNC.CUAD60.BS.302","Atlas 60 -  (2) Giga Eth WAN + (8) FastEth (PoE Opcional) + (2) Slots      << 300 Usuarios>>",,915,
"UNC.CUAD60.BS.301","M1 - (1) FastEth WAN + (4) FastEthernet + (1) Slot     << 100 Usuarios >>",,584,
"UNC.CUAD.BS.TRIO","Polycom RealPresence Trio 8800","(2) GigaEthernet",1514,
"UNC.CUAD.BS.GS3240","Grandstream GXP3240   // Eliminador de CA Incluido","(2) GigaEthernet",173,
"UNC.CUAD.BS.GS2200","Grandstream GXP2200EXT Expansion Module",,109,
"UNC.CUAD.BS.GS2170","Grandstream GXP2170   // Eliminador de CA Incluido","(2) GigaEthernet",131,
"UNC.CUAD.BS.GS2140","Grandstream GXP2140   // Eliminador de CA Incluido","(2) GigaEthernet",117,
"UNC.CUAD.BS.GS1625","Grandstream GXP1625   // Eliminador de CA Incluido","(2) FastEthernet",79,
"UNC.CUAD.BS.G4224","Gateway GXW4224 Grandstream 24 puertos analógicos FXS","24 FXS (Extensión analógica)",1298,
"UNC.CUAD.BS.910","Unidad de Servicios Profesionales",,6250,
"UNC.CUAD.BS.902","Gestión Unitaria Chasis (Gateway)",,719,
"UNC.CUAD.BS.901","Reportes",,19,
"UNC.CUAD.BS.429","Polycom Fuente para VVX (301, 311, 401, 411, 501, 601)",,47,
"UNC.CUAD.BS.428","Polycom VVX 601","(2) GigaEthernet",224,
"UNC.CUAD.BS.427","Polycom VVX 501","(2) GigaEthernet",187,
"UNC.CUAD.BS.426","Polycom VVX 411","(2) GigaEthernet",157,
"UNC.CUAD.BS.425","Polycom VVX 401","(2) GigaEthernet",142,
"UNC.CUAD.BS.424","Polycom VVX 311","(2) GigaEthernet",127,
"UNC.CUAD.BS.423","Polycom VVX 301","(2) GigaEthernet",112,
"UNC.CUAD.BS.419","Polycom VVX Expansion Module (Color)",,178,
"UNC.CUAD.BS.417","Polycom VVX Camera",,106,
"UNC.CUAD.BS.416","SoundStation IP 6000 (Incluye Fuente de AC)","(1) FastEthernet",510,
"UNC.CUAD.BS.415","SoundStation IP 5000","(1) FastEthernet",420,
"UNC.CUAD.BS.313-60","Tarjeta E1 (Voz)","Atlas 60",1033,
"UNC.CUAD.BS.313","Tarjeta E1 (Voz)","Atlas 260/360",1033,
"UNC.CUAD.BS.312-60","Tarjeta G.703","Atlas 60",478,
"UNC.CUAD.BS.312","Tarjeta G.703","Atlas 260/360",478,
"UNC.CUAD.BS.311","Tarjeta G.703","M1",373,
"UNC.CUAD.BS.310","Kit PoE para Atlas 360 (16 Puertos)","Atlas 360",1027,
"UNC.CUAD.BS.309","Fuente PoE para Atlas 60 (8 Puertos)","Atlas 60",287,
"UNC.CUAD.BS.308-60","Tarjeta 4 FXO","Atlas 60",587,
"UNC.CUAD.BS.308","Tarjeta 4 FXO","Atlas 260/360",587,
"UNC.CUAD.BS.307-60","Tarjeta 2 FXO","Atlas 60",360,
"UNC.CUAD.BS.307","Tarjeta 2 FXO","Atlas 260/360",360,
"UNC.CUAD.BS.306-60","Tarjeta V.35","Atlas 60",129,
"UNC.CUAD.BS.306","Tarjeta V.35","Atlas 260/360",129,
"UNC.CUAD.BS.305","Tarjeta V.35","M1",129,
"UNC.CUAD.BS.304","Atlas 360 - (2) Giga Eth WAN + (4) Slots      << 300 Usuarios>>",,3850,
"UNC.CUAD.BS.303","Atlas 260 - (2) Giga Eth WAN + (3) Slots      << 300 Usuarios>>",,2194,
"UNC.CUAD.BS.302","Atlas 60 -  (2) Giga Eth WAN + (8) FastEth (PoE Opcional) + (2) Slots      << 300 Usuarios>>",,1181,
"UNC.CUAD.BS.301","M1 - (1) FastEth WAN + (4) FastEthernet + (1) Slot     << 100 Usuarios >>",,696,
"UNC.CUAD.AVED203","Prueba","prueba",0.1,
"UNC.CUAD.AVED101","Prueba","prueba",0.1,
"UNC.CUAD.AVBA101","Prueba","prueba",0.1,
"UNC.C60.BS.GS3240","Grandstream GXP3240   // Eliminador de CA Incluido","(2) GigaEthernet",127,
