"empresa","sku","nombre","total"
"AMX_Ent_2524773","TRCLT","BroadTouch Business Communicator Desktop",14
"AMX_Ent_1872940","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_2522325","TRCLS","BroadTouch Business Communicator Mobile",15
"AMX_Ent_2519697","TRCLT","BroadTouch Business Communicator Desktop",5
"AMX_Ent_2509644","TRCLS","BroadTouch Business Communicator Mobile",15
"AMX_Ent_2500882","TRCLT","BroadTouch Business Communicator Desktop",9
"AMX_Ent_2500882","TRCLS","BroadTouch Business Communicator Mobile",9
"AMX_Ent_1316459","TRCLS","BroadTouch Business Communicator Mobile",7
"AMX_Ent_2509644","TRCLT","BroadTouch Business Communicator Desktop",15
"AMX_Ent_2494383","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_2481326","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_2473849","TRCLT","BroadTouch Business Communicator Desktop",6
"AMX_Ent_2473849","TRCLS","BroadTouch Business Communicator Mobile",6
"AMX_Ent_2340123","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_2510992","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_1211717","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_2497674","TRCLT","BroadTouch Business Communicator Desktop",9
"AMX_Ent_2492805","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2492805","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2513592","TRCLT","BroadTouch Business Communicator Desktop",15
"AMX_Ent_1892614","TRCLT","BroadTouch Business Communicator Desktop",9
"AMX_Ent_1892614","TRCLS","BroadTouch Business Communicator Mobile",9
"AMX_Ent_1227333","TRCLT","BroadTouch Business Communicator Desktop",9
"AMX_Ent_1227333","TRCLS","BroadTouch Business Communicator Mobile",9
"AMX_Ent_2509054","TRCLT","BroadTouch Business Communicator Desktop",5
"AMX_Ent_2509054","TRCLS","BroadTouch Business Communicator Mobile",5
"AMX_Ent_2505043","TRCLT","BroadTouch Business Communicator Desktop",5
"AMX_Ent_2505043","TRCLS","BroadTouch Business Communicator Mobile",5
"AMX_Ent_2293540","TRCLS","BroadTouch Business Communicator Mobile",15
"AMX_Ent_2467861","TRCLS","BroadTouch Business Communicator Mobile",8
"AMX_Ent_2509605","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_2494383","TRCLT","BroadTouch Business Communicator Desktop",27
"AMX_Ent_2493221","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_2491295","TRCLT","BroadTouch Business Communicator Desktop",10
"AMX_Ent_1482643","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_2487442","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_2487442","TRCLT","BroadTouch Business Communicator Desktop",11
"AMX_Ent_2483811","TRCLT","BroadTouch Business Communicator Desktop",20
"AMX_Ent_2464068","TRCLT","BroadTouch Business Communicator Desktop",4
"AMX_Ent_2129457","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_2462586","TRCLS","BroadTouch Business Communicator Mobile",10
"AMX_Ent_2129457","TRCLS","BroadTouch Business Communicator Mobile",46
"AMX_Ent_2495774","TRCLS","BroadTouch Business Communicator Mobile",5
"AMX_Ent_2477455","TRCLT","BroadTouch Business Communicator Desktop",44
"AMX_Ent_2479875","TRCLS","BroadTouch Business Communicator Mobile",8
"AMX_Ent_2476393","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_2476339","TRCLS","BroadTouch Business Communicator Mobile",20
"AMX_Ent_2469453","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2469453","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2460819","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1211717","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_2460268","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1715985","TRCLS","BroadTouch Business Communicator Mobile",14
"AMX_Ent_2462586","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_1380538","TRCLT","BroadTouch Business Communicator Desktop",18
"AMX_Ent_2433695","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_1612371","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_1450911","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_2417763","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1322847","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_1322847","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_2443261","TRCLS","BroadTouch Business Communicator Mobile",9
"AMX_Ent_2437077","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_2420801","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_2420801","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_2467861","TRCLT","BroadTouch Business Communicator Desktop",8
"AMX_Ent_2414026","TRCLT","BroadTouch Business Communicator Desktop",15
"AMX_Ent_1655484","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_1655484","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_2397843","TRCLT","BroadTouch Business Communicator Desktop",15
"AMX_Ent_2397843","TRCLS","BroadTouch Business Communicator Mobile",15
"AMX_Ent_2410701","TRCLT","BroadTouch Business Communicator Desktop",10
"AMX_Ent_2519697","TRCLS","BroadTouch Business Communicator Mobile",5
"AMX_Ent_2404801","TRCLT","BroadTouch Business Communicator Desktop",13
"AMX_Ent_2404801","TRCLS","BroadTouch Business Communicator Mobile",18
"AMX_Ent_1491045","TRCLT","BroadTouch Business Communicator Desktop",5
"AMX_Ent_2348926","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_1952712","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1952712","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2383797","TRCLT","BroadTouch Business Communicator Desktop",7
"AMX_Ent_2383797","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_2380923","TRCLT","BroadTouch Business Communicator Desktop",10
"AMX_Ent_2270213","TRCLS","BroadTouch Business Communicator Mobile",9
"AMX_Ent_1981971","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_2200273","TRCLT","BroadTouch Business Communicator Desktop",12
"AMX_Ent_1535910","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_1715985","TRCLT","BroadTouch Business Communicator Desktop",14
"AMX_Ent_2410701","TRCLS","BroadTouch Business Communicator Mobile",10
"AMX_Ent_2201755","TRCLT","BroadTouch Business Communicator Desktop",5
"AMX_Ent_2065070","TRCLT","BroadTouch Business Communicator Desktop",17
"AMX_Ent_2116994","TRCLS","BroadTouch Business Communicator Mobile",18
"AMX_Ent_2524773","TRCLS","BroadTouch Business Communicator Mobile",14
"AMX_Ent_2083057","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_1908412","TRCLT","BroadTouch Business Communicator Desktop",22
"AMX_Ent_2087589","TRCLT","BroadTouch Business Communicator Desktop",10
"AMX_Ent_2035514","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1443342","TRCLT","BroadTouch Business Communicator Desktop",9
"AMX_Ent_1445434","TRCLT","BroadTouch Business Communicator Desktop",40
"AMX_Ent_1380538","TRCLS","BroadTouch Business Communicator Mobile",18
"AMX_Ent_2230010","TRCLS","BroadTouch Business Communicator Mobile",8
"AMX_Ent_2511976","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2511976","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1316459","TRCLT","BroadTouch Business Communicator Desktop",7
"AMX_Ent_1445434","TRCLS","BroadTouch Business Communicator Mobile",40
"AMX_Ent_2340123","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_2345257","TRCLT","BroadTouch Business Communicator Desktop",5
"AMX_Ent_2341961","TRCLT","BroadTouch Business Communicator Desktop",1
"AMX_Ent_1435834","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_1908427","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1494561","TRCLS","BroadTouch Business Communicator Mobile",5
"AMX_Ent_1719206","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1443342","TRCLS","BroadTouch Business Communicator Mobile",15
"AMX_Ent_2330212","TRCLT","BroadTouch Business Communicator Desktop",8
"AMX_Ent_1946124","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_1917515","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2348926","TRCLS","BroadTouch Business Communicator Mobile",2
"AMX_Ent_1244052","TRCLS","BroadTouch Business Communicator Mobile",9
"AMX_Ent_1491045","TRCLS","BroadTouch Business Communicator Mobile",5
"AMX_Ent_1263806","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_2007591","TRCLS","BroadTouch Business Communicator Mobile",9
"AMX_Ent_1375121","TRCLT","BroadTouch Business Communicator Desktop",4
"AMX_Ent_2242061","TRCLT","BroadTouch Business Communicator Desktop",15
"AMX_Ent_2520690","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_1193641","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2116994","TRCLT","BroadTouch Business Communicator Desktop",19
"AMX_Ent_2330212","TRCLS","BroadTouch Business Communicator Mobile",8
"AMX_Ent_1333158","TRCLS","BroadTouch Business Communicator Mobile",6
"AMX_Ent_1399592","TRCLS","BroadTouch Business Communicator Mobile",12
"AMX_Ent_1193641","TRCLS","BroadTouch Business Communicator Mobile",4
"AMX_Ent_1542735","TRCLT","BroadTouch Business Communicator Desktop",17
"AMX_Ent_2232078","TRCLT","BroadTouch Business Communicator Desktop",53
"AMX_Ent_1841802","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2483811","TRCLS","BroadTouch Business Communicator Mobile",5
"AMX_Ent_2062570","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2428841","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_1389358","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_2476757","TRCLS","BroadTouch Business Communicator Mobile",15
"AMX_Ent_1806258","TRCLS","BroadTouch Business Communicator Mobile",15
"AMX_Ent_1995114","TRCLS","BroadTouch Business Communicator Mobile",1
"AMX_Ent_2306198","TRCLT","BroadTouch Business Communicator Desktop",3
"AMX_Ent_2461520","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1244052","TRCLT","BroadTouch Business Communicator Desktop",9
"AMX_Ent_2513592","TRCLS","BroadTouch Business Communicator Mobile",15
"AMX_Ent_1806258","TRCLT","BroadTouch Business Communicator Desktop",15
"AMX_Ent_2080279","TRCLS","BroadTouch Business Communicator Mobile",40
"AMX_Ent_2304833","TRCLT","BroadTouch Business Communicator Desktop",11
"AMX_Ent_2375618","TRCLT","BroadTouch Business Communicator Desktop",2
"AMX_Ent_1419198","TRCLS","BroadTouch Business Communicator Mobile",6
"ConectaT","TRCLS","BroadTouch Business Communicator Mobile",3
"AMX_Ent_1772869","TRCLS","BroadTouch Business Communicator Mobile",7
"AMX_Ent_2499780","TRCLT","BroadTouch Business Communicator Desktop",4
"AMX_Ent_2063322","TRCLT","BroadTouch Business Communicator Desktop",33
"AMX_Ent_2198225","TRCLS","BroadTouch Business Communicator Mobile",9
