"_id","groupId","serviceProviderId","services"
"AMX_1683598_HG151047@pbxcloud.mx","AMX_1683598","AMX_Ent_1263806","[""Call Forwarding Always""]"
"AMX_1501573_HG73857@pbxcloud.mx","AMX_1501573","AMX_Ent_1322847","[""Call Forwarding Always""]"
"AMX_1516866_HG73526@pbxcloud.mx","AMX_1516866","AMX_Ent_1333158","[""Call Forwarding Always""]"
"AMX_2909533_HG152257@pbxcloud.mx","AMX_2909533","AMX_Ent_1338878","[""Call Forwarding Always""]"
"AMX_1527488_HG73480@pbxcloud.mx","AMX_1527488","AMX_Ent_1340057","[""Call Forwarding Busy""]"
"AMX_1527488_HG73492@pbxcloud.mx","AMX_1527488","AMX_Ent_1340057","[""Call Forwarding Busy""]"
"AMX_1527488_HG73498@pbxcloud.mx","AMX_1527488","AMX_Ent_1340057","[""Call Forwarding Busy""]"
"AMX_1527488_HG73699@pbxcloud.mx","AMX_1527488","AMX_Ent_1340057","[""Call Forwarding Always"",""Selective Call Rejection""]"
"AMX_1527488_HG73705@pbxcloud.mx","AMX_1527488","AMX_Ent_1340057","[""Call Forwarding Always"",""Selective Call Rejection""]"
"AMX_1527488_HG73712@pbxcloud.mx","AMX_1527488","AMX_Ent_1340057","[""Call Forwarding Always"",""Selective Call Rejection""]"
"AMX_1527488_HG73719@pbxcloud.mx","AMX_1527488","AMX_Ent_1340057","[""Call Forwarding Always"",""Selective Call Rejection""]"
"AMX_1527488_HG73725@pbxcloud.mx","AMX_1527488","AMX_Ent_1340057","[""Call Forwarding Always"",""Selective Call Rejection""]"
"AMX_2942996_HG153091@pbxcloud.mx","AMX_2942996","AMX_Ent_1369069","[""Call Forwarding Always""]"
"AMX_2942996_HG153322@pbxcloud.mx","AMX_2942996","AMX_Ent_1369069","[""Call Forwarding Always""]"
"AMX_2942996_HG153330@pbxcloud.mx","AMX_2942996","AMX_Ent_1369069","[""Call Forwarding Always""]"
