"usuarios","empresa","subscriptionId","tipo","servicePacks"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
,"AMX_Ent_1806258","AMX_3007571","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""Messaging""]"
,"AMX_Ent_1854463","AMX_2567810","MOH",
,"AMX_Ent_1854463","AMX_2567810","VMR",
,"AMX_Ent_1854463","AMX_2567810","BAPortal","[""1BASE"",""2BUSINESSLINE"",""3STANDARD""]"
,"AMX_Ent_1854463","AMX_2567810","HuntGroup",
,"AMX_Ent_1854463","AMX_2567810","HuntGroup",
,"AMX_Ent_1854463","AMX_2567810","HuntGroup",
,"AMX_Ent_2392757","AMX_3320764","MOH",
,"AMX_Ent_2392757","AMX_3320764","VMR",
,"AMX_Ent_2392757","AMX_3320764","BAPortal","[""1BASE"",""2BUSINESSLINE"",""3STANDARD""]"
,"AMX_Ent_1322847","AMX_1501573","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
