"usuario","empresa","subscriptionId","tipo","servicePacks"
"usuario1031@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"usuario1030@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"usuario1029@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"usuario1028@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"usuario1027@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"usuario1026@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"usuario1025@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"usuario1024@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"usuario1023@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"usuario1022@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"usuario1021@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"usuario1020@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"usuario1019@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"usuario1018@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"usuario1017@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"usuario1016@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","User","[""3STANDARD"",""1BASE"",""2BUSINESSLINE"",""Calling Line ID Blocking Override"",""Messaging""]"
"rocio01@pbxcloud.mx","AMX_Ent_1806258","AMX_3007571","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video"",""Messaging""]"
"133166832_156425435_MOH","AMX_Ent_1854463","AMX_2567810","MOH",
"133166832_156425435_VMR@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","VMR",
"AMX_2567810_AP@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","BAPortal","[""1BASE"",""2BUSINESSLINE"",""3STANDARD""]"
"AMX_2567810_HG150223@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","HuntGroup",
"AMX_2567810_HG150232@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","HuntGroup",
"AMX_2567810_HG150243@pbxcloud.mx","AMX_Ent_1854463","AMX_2567810","HuntGroup",
"161829931_144705738_MOH","AMX_Ent_2392757","AMX_3320764","MOH",
"161829931_144705738_VMR@pbxcloud.mx","AMX_Ent_2392757","AMX_3320764","VMR",
"AMX_3320764_AP@pbxcloud.mx","AMX_Ent_2392757","AMX_3320764","BAPortal","[""1BASE"",""2BUSINESSLINE"",""3STANDARD""]"
"iridian@pbxcloud.mx","AMX_Ent_1322847","AMX_1501573","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
"pbxcloud1@pbxcloud.mx","AMX_Ent_1322847","AMX_1501573","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override"",""BroadTouch Business Communicator Mobile - Video"",""BroadTouch Business Communicator Desktop - Video""]"
"oficina2_1001@pbxcloud.mx","AMX_Ent_2402246","AMX_3344159","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override""]"
"oficina3_1002@pbxcloud.mx","AMX_Ent_2402246","AMX_3344159","User","[""3STANDARD"",""1BASE"",""4PERSONALMOBILITY"",""2BUSINESSLINE"",""5PREMIUM"",""Calling Line ID Blocking Override""]"
